"am_sid","sciname","reviewed","iucn_sid","popn_trend","popn_category","spp_group","id_no","spatial_source","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area","area_ratio","lg_area_pct","spp_group_text","occurcells"
"ITS-180450","Cephalorhynchus eutropia",1,4160,"Decreasing","NT","MARINE_MAMMALS",4160,"iucn",614923.5,498881.5,594031.1,78.716,3.378,17.905,0,"AM",13.329,83.982,0.16,NA,2
"ITS-Mam-180451","Cephalorhynchus heavisidii",1,4161,"Unknown","DD","MARINE_MAMMALS",4161,"iucn",253126.1,253126.1,0,0,100,0,NA,"IUCN",12.442,0,0.068,NA,29
"ITS-Mam-180452","Cephalorhynchus hectori",1,4162,"Decreasing","EN","MARINE_MAMMALS",4162,"iucn_parent",339248.5,252685.4,253726.3,48.993,25.503,25.503,0,"IUCN",12.734,99.59,0.068,NA,5
"Fis-32632","Chaetodon marleyi",1,4362,"Stable","LC","BUTTERFLYFISH",4362,"iucn",673807.2,437737.3,473616.9,36.255,27.49,36.255,0,"AM",13.421,92.424,0.128,"Butterflyfish",27
"Fis-33809","Chaetodon robustus",1,4364,"Stable","LC","BUTTERFLYFISH",4364,"iucn",1337105.7,411815,1322249.1,29.773,1.136,69.091,0,"AM",14.106,31.145,0.357,"Butterflyfish",53
"Rep-2941","Chelonia mydas",1,4615,"Decreasing","EN","REPTILES",4615,"iucn_parent",190702144.6,27826649.2,182154850.5,10.18,4.862,84.958,0,"AM",19.066,15.276,49.169,NA,1581
"Rep-3445","Crocodylus acutus",NA,5659,"Increasing","VU","REPTILES",5659,"iucn",5731438.1,3671317.3,3624397.2,27.404,37.121,35.476,0,"IUCN",15.561,98.722,0.991,NA,65
"Rep-3460","Crocodylus porosus",NA,5668,NA,"LC","REPTILES",5668,"iucn",17691828,13276864.3,9473435,27.989,47.095,24.916,0,"IUCN",16.689,71.353,3.584,NA,149
"ITS-Mam-180657","Cystophora cristata",1,6204,"Decreasing","VU","MARINE_MAMMALS",6204,"iucn",13455541.1,12720929.3,8819573.2,60.202,32.489,7.309,0,"IUCN",16.415,69.331,3.434,NA,80
"ITS-Mam-180483","Delphinapterus leucas",1,6335,"Unknown","NT","MARINE_MAMMALS",6335,"iucn_parent",25268202,24635489.2,11728689.7,48.047,48.203,3.75,0,"IUCN",17.045,47.609,6.65,NA,165
"ITS-Mam-180438","Delphinus delphis",1,6336,"Unknown","LC","MARINE_MAMMALS",6336,"iucn_parent",215914953,209301504.2,90011066.9,38.357,58.28,3.363,0,"IUCN",19.19,43.005,56.497,NA,1969
"ITS-Mam-555654","Delphinus capensis",1,6337,"Unknown","DD","MARINE_MAMMALS",6337,"iucn",31674738.7,31674738.7,0,0,100,0,NA,"IUCN",17.271,0,8.55,NA,129
"Rep-4381","Dermochelys coriacea",1,6494,"Decreasing","VU","REPTILES",6494,"iucn_parent",318969772.4,317381756.2,214885688.1,62.895,36.606,0.499,0,"IUCN",19.581,67.706,85.672,NA,5390
"ITS-Mam-180679","Dugong dugon",1,6909,"Unknown","VU","MARINE_MAMMALS",6909,"iucn",15406353.5,8558110.7,11740389.1,31.681,24.303,44.016,0,"AM",16.55,72.895,3.169,NA,245
"ITS-Mam-180547","Enhydra lutris",1,7750,"Decreasing","EN","TERRESTRIAL_MAMMALS",7750,"iucn",5686748.2,4335594,2518594.4,21.518,54.705,23.777,0,"IUCN",15.554,58.091,1.17,NA,156
"Fis-29953","Epinephelus drummondhayi",1,7854,"Unknown","CR","GROUPERS",7854,"iucn",927838.9,434001.7,803009.9,33.236,13.12,53.644,0,"AM",13.741,54.047,0.217,"Groupers",41
"Fis-26139","Epinephelus lanceolatus",1,7858,"Decreasing","VU","GROUPERS",7858,"iucn",29479075.1,14810062.1,24828288.6,34.17,16.263,49.566,0,"AM",17.199,59.65,6.702,"Groupers",160
"Fis-26140","Epinephelus marginatus",1,7859,"Decreasing","EN","GROUPERS",7859,"iucn",9151908.8,6736295.6,6497070.4,45.433,27.661,26.905,0,"IUCN",16.029,96.449,1.818,"Groupers",299
"Fis-163779","Hyporthodus nigritus",1,7860,"Unknown","CR","GROUPERS",7860,"iucn",2968133.3,1875489.2,1740158.3,22.605,39.751,37.644,0,"IUCN",14.903,92.784,0.506,"Groupers",29
"Fis-163781","Hyporthodus niveatus",NA,7861,"Decreasing","VU","GROUPERS",7861,"iucn",5479106.3,4009309.4,4160091.6,48.777,24.05,27.173,0,"AM",15.516,96.376,1.123,"Groupers",61
"Fis-22722","Epinephelus striatus",1,7862,"Decreasing","EN","GROUPERS",7862,"iucn",4801308.8,3224403.5,3691210.4,43.927,23.384,32.689,0,"AM",15.384,87.354,0.996,"Groupers",129
"Rep-5181","Eretmochelys imbricata",1,8005,"Decreasing","CR","REPTILES",8005,"iucn",284407193.1,28990547.5,283953022.2,9.73,0.18,90.09,0,"AM",19.466,10.21,76.648,NA,804
"ITS-Mam-180655","Erignathus barbatus",NA,8010,"Stable","LC","MARINE_MAMMALS",8010,"iucn",24460769,20559941.2,16615157.2,60.891,20.538,18.571,0,"IUCN",17.013,80.813,5.55,NA,195
"ITS-Mam-180521","Eschrichtius robustus",1,8097,"Stable","LC","MARINE_MAMMALS",8097,"iucn_parent",10251411.7,9531044.4,6254451.8,52.861,39.807,7.332,0,"IUCN",16.143,65.622,2.573,NA,252
"ITS-Mam-552771","Eubalaena australis",1,8153,"Increasing","LC","MARINE_MAMMALS",8153,"iucn_parent",138452797.4,135411122.3,88204858.2,66.895,30.714,2.391,0,"IUCN",18.746,65.139,36.552,NA,236
"ITS-Mam-180625","Eumetopias jubatus",1,8239,"Increasing","NT","MARINE_MAMMALS",8239,"iucn_parent",9058350.3,5872420.9,7474532,50.463,13.321,36.216,0,"AM",16.019,78.566,2.018,NA,246
"ITS-Mam-180461","Feresa attenuata",1,8551,"Unknown","DD","MARINE_MAMMALS",8551,"iucn",201385374.8,201385374.8,0,0,100,0,NA,"IUCN",19.121,0,54.36,NA,354
"ITS-Mam-180466","Globicephala macrorhynchus",1,9249,"Unknown","DD","MARINE_MAMMALS",9249,"iucn",259459285.2,259459285.2,0,0,100,0,NA,"IUCN",19.374,0,70.036,NA,722
"ITS-Mam-552461","Globicephala melas",1,9250,"Unknown","DD","MARINE_MAMMALS",9250,"iucn_parent",155374111,155374111,0,0,100,0,NA,"IUCN",18.861,0,41.94,NA,1047
"ITS-Mam-180457","Grampus griseus",1,9461,"Unknown","LC","MARINE_MAMMALS",9461,"iucn_parent",302147706.4,294671923.8,244240647.2,74.722,22.305,2.973,0,"IUCN",19.526,82.886,79.541,NA,1401
"ITS-Mam-180653","Halichoerus grypus",1,9660,"Increasing","LC","MARINE_MAMMALS",9660,"iucn",5026367.9,4543649.8,3569760.9,59.11,30.556,10.334,0,"IUCN",15.43,78.566,1.226,NA,697
"ITS-Mam-180667","Hydrurga leptonyx",1,10340,"Unknown","LC","MARINE_MAMMALS",10340,"iucn",126368651.7,124492425.5,22552267.7,24.971,70.648,4.381,0,"IUCN",18.655,18.115,33.604,NA,291
"ITS-Mam-180505","Hyperoodon planifrons",1,10708,"Unknown","LC","MARINE_MAMMALS",10708,"iucn",149142282.3,147789912.3,93595617.4,70.315,27.985,1.7,0,"IUCN",18.82,63.33,39.893,NA,126
"ITS-Mam-180492","Kogia sima",1,11048,"Unknown","DD","MARINE_MAMMALS",11048,"iucn",244383209.4,244383209.4,0,0,100,0,NA,"IUCN",19.314,0,65.967,NA,578
"Fis-23577","Lachnolaimus maximus",NA,11130,"Decreasing","VU","WRASSE",11130,"iucn",4814256.6,2404942.7,4675676.9,47.447,3.063,49.489,0,"AM",15.387,51.435,1.262,NA,165
"ITS-Mam-180440","Lagenodelphis hosei",1,11140,"Unknown","LC","MARINE_MAMMALS",11140,"iucn",243649542.7,240612345.1,181065161.6,70.53,28.238,1.231,0,"IUCN",19.311,75.252,64.949,NA,368
"ITS-Mam-180443","Lagenorhynchus acutus",1,11141,"Unknown","LC","MARINE_MAMMALS",11141,"iucn",17643095.8,17214956,11370770.1,64.987,31.732,3.28,0,"IUCN",16.686,66.052,4.647,NA,597
"ITS-Mam-180442","Lagenorhynchus albirostris",1,11142,"Unknown","LC","MARINE_MAMMALS",11142,"iucn",15188968.3,12976205.9,14233896.5,76.263,5.91,17.827,0,"AM",16.536,91.164,3.842,NA,444
"ITS-Mam-180446","Lagenorhynchus australis",1,11143,"Unknown","DD","MARINE_MAMMALS",11143,"iucn",1790608.9,1790608.9,0,0,100,0,NA,"IUCN",14.398,0,0.483,NA,105
"ITS-Mam-180447","Lagenorhynchus cruciger",1,11144,"Unknown","LC","MARINE_MAMMALS",11144,"iucn",84078576.2,81297163.7,63704404.4,69.455,28.023,2.523,0,"IUCN",18.247,78.36,21.945,NA,42
"ITS-Mam-180444","Lagenorhynchus obliquidens",1,11145,"Unknown","LC","MARINE_MAMMALS",11145,"iucn",31811881,31536810.1,16646256.3,53.03,46.208,0.762,0,"IUCN",17.275,52.784,8.513,NA,264
"ITS-Mam-180445","Lagenorhynchus obscurus",1,11146,"Unknown","DD","MARINE_MAMMALS",11146,"iucn",83206765.8,83206765.8,0,0,100,0,NA,"IUCN",18.237,0,22.46,NA,149
"Fis-34000","Lagocephalus gloveri",NA,11150,"Decreasing","DD","PUFFERFISH",11150,"iucn",9841563.8,9841563.8,0,0,100,0,NA,"IUCN",16.102,0,2.657,"Pufferfish",33
"Rep-6936","Lepidochelys olivacea",1,11534,"Decreasing","VU","REPTILES",11534,"iucn",89523538.1,18187152.3,87345289.9,17.346,2.571,80.082,0,"AM",18.31,20.822,23.577,NA,1377
"ITS-Mam-180669","Leptonychotes weddellii",1,11696,"Unknown","LC","MARINE_MAMMALS",11696,"iucn",22929766.5,18723478.3,22552267.7,76.628,1.337,22.035,0,"AM",16.948,83.023,6.088,NA,206
"ITS-Mam-180454","Lissodelphis borealis",1,12125,"Unknown","LC","MARINE_MAMMALS",12125,"iucn",20452109.9,19554593.1,10554330.1,44.88,51.257,3.864,0,"IUCN",16.834,53.974,5.278,NA,180
"Fis-23176","Lithognathus lithognathus",NA,12137,"Decreasing","EN","SEABREAMS_PORGIES",12137,"iucn",489424.3,182657.6,357433.9,10.16,25.668,64.171,0,"AM",13.101,51.102,0.096,"Sparidae",7
"ITS-Mam-622023","Lobodon carcinophaga",1,12246,"Unknown","LC","MARINE_MAMMALS",12246,"iucn",78950923.2,77098160.1,21641467,33.308,60.692,6,0,"IUCN",18.184,28.07,20.811,NA,2056
"ITS-Mam-621916","Lutra lutra",NA,12419,"Decreasing","NT","TERRESTRIAL_MAMMALS",12419,"iucn",32744442.2,3807137.7,29994490.7,3.042,6.113,90.845,0,"AM",17.304,12.693,8.096,NA,560
"ITS-Mam-180530","Megaptera novaeangliae",1,13006,"Increasing","LC","MARINE_MAMMALS",13006,"iucn_parent",358357026.3,353729732.6,353808218.7,95.198,2.23,2.572,0,"AM",19.697,99.978,95.504,NA,2509
"ITS-Mam-180515","Mesoplodon bidens",1,13241,"Unknown","DD","MARINE_MAMMALS",13241,"iucn",15115659,15115659,0,0,100,0,NA,"IUCN",16.531,0,4.08,NA,129
"ITS-Mam-180512","Mesoplodon carlhubbsi",1,13243,"Unknown","DD","MARINE_MAMMALS",13243,"iucn",14597617.2,14597617.2,0,0,100,0,NA,"IUCN",16.496,0,3.94,NA,34
"ITS-Mam-180509","Mesoplodon europaeus",1,13245,"Unknown","DD","MARINE_MAMMALS",13245,"iucn",59892851.8,59892851.8,0,0,100,0,NA,"IUCN",17.908,0,16.167,NA,159
"ITS-Mam-180510","Mesoplodon ginkgodens",1,13246,"Unknown","DD","MARINE_MAMMALS",13246,"iucn",182116905.2,182116905.2,0,0,100,0,NA,"IUCN",19.02,0,49.159,NA,30
"ITS-Mam-180511","Mesoplodon grayi",1,13247,"Unknown","DD","MARINE_MAMMALS",13247,"iucn",117998467.8,117998467.8,0,0,100,0,NA,"IUCN",18.586,0,31.852,NA,77
"ITS-Mam-180507","Mesoplodon hectori",1,13248,"Unknown","DD","MARINE_MAMMALS",13248,"iucn",68330332.2,68330332.2,0,0,100,0,NA,"IUCN",18.04,0,18.445,NA,33
"ITS-Mam-180516","Mesoplodon layardii",1,13249,"Unknown","DD","MARINE_MAMMALS",13249,"iucn",127481534.5,127481534.5,0,0,100,0,NA,"IUCN",18.663,0,34.411,NA,119
"ITS-Mam-180508","Mesoplodon mirus",1,13250,"Unknown","DD","MARINE_MAMMALS",13250,"iucn",64709789.3,64709789.3,0,0,100,0,NA,"IUCN",17.985,0,17.467,NA,50
"ITS-Mam-552772","Mesoplodon peruvianus",NA,13251,"Unknown","DD","MARINE_MAMMALS",13251,"iucn",41550239,41550239,0,0,100,0,NA,"IUCN",17.542,0,11.216,NA,15
"ITS-Mam-180514","Mesoplodon stejnegeri",NA,13252,"Unknown","DD","MARINE_MAMMALS",13252,"iucn",24959463.8,24959463.8,0,0,100,0,NA,"IUCN",17.033,0,6.737,NA,59
"ITS-Mam-180672","Mirounga angustirostris",1,13581,"Increasing","LC","MARINE_MAMMALS",13581,"iucn",13178754.7,12829324.7,10990191,82.361,14.747,2.892,0,"IUCN",16.394,85.665,3.463,NA,1819
"ITS-Mam-180671","Mirounga leonina",1,13583,"Unknown","LC","MARINE_MAMMALS",13583,"iucn",135222601.5,129892323.8,72787539.9,56.298,34.721,8.981,0,"IUCN",18.722,56.037,35.062,NA,7663
"ITS-Mam-180659","Monachus monachus",1,13653,"Decreasing","EN","MARINE_MAMMALS",13653,"iucn",2895443.7,2829495.7,570867,17.652,80.291,2.057,0,"IUCN",14.879,20.176,0.764,NA,54
"ITS-Mam-180485","Monodon monoceros",1,13704,"Unknown","NT","MARINE_MAMMALS",13704,"iucn",15232669.6,13840247.4,4437816.3,22.733,58.072,19.195,0,"IUCN",16.539,32.065,3.736,NA,46
"Fis-24803","Mycteroperca jordani",NA,14049,"Decreasing","EN","GROUPERS",14049,"iucn",703520.5,279046.4,695435.8,38.077,1.154,60.769,0,"AM",13.464,40.125,0.188,"Groupers",21
"Fis-23649","Mycteroperca microlepis",NA,14050,"Decreasing","LC","GROUPERS",14050,"iucn",3757641,3283176.5,1658683.5,32.526,54.16,13.313,0,"IUCN",15.139,50.521,0.886,"Groupers",120
"Fis-26901","Mycteroperca olfax",1,14051,"Unknown","VU","GROUPERS",14051,"iucn",202732.6,67650.2,175039.3,19.697,13.636,66.667,0,"AM",12.22,38.649,0.047,"Groupers",26
"Fis-33369","Mycteroperca prionura",NA,14052,"Decreasing","NT","GROUPERS",14052,"iucn",498587,357637.1,361725.4,44.944,26.966,28.09,0,"AM",13.12,98.87,0.098,"Groupers",18
"Fis-27393","Mycteroperca rosacea",1,14053,"Decreasing","VU","GROUPERS",14053,"iucn",563590.2,371209.7,460859.6,48.259,17.91,33.831,0,"AM",13.242,80.547,0.124,"Groupers",53
"Fis-23650","Mycteroperca rubra",NA,14054,"Unknown","LC","GROUPERS",14054,"iucn",3804545.4,2702846.5,3244632.3,55.718,15.9,28.382,0,"AM",15.152,83.302,0.876,"Groupers",93
"ITS-Mam-180623","Neophoca cinerea",1,14549,"Decreasing","EN","MARINE_MAMMALS",14549,"iucn",988914.7,841310.8,672350.1,52.308,32.821,14.872,0,"IUCN",13.804,79.917,0.227,NA,82
"ITS-Mam-180639","Odobenus rosmarus",NA,15106,"Unknown","DD","MARINE_MAMMALS",15106,"iucn",18946191.4,18946191.4,0,0,100,0,NA,"IUCN",16.757,0,5.114,NA,260
"ITS-Mam-180665","Ommatophoca rossii",1,15269,"Unknown","LC","MARINE_MAMMALS",15269,"iucn",22039441.5,18715362.8,21641467,78.628,1.441,19.932,0,"AM",16.908,86.479,5.842,NA,203
"ITS-Mam-180471","Orcaella brevirostris",1,15419,"Decreasing","VU","MARINE_MAMMALS",15419,"iucn_parent",5278045.3,4178313.8,3534221.8,45.771,33.429,20.8,0,"IUCN",15.479,84.585,1.128,NA,27
"Fis-23707","Pagrus pagrus",1,15873,"Unknown","LC","SEABREAMS_PORGIES",15873,"iucn",11280563.9,8775734.8,7763688.4,47.645,29.112,23.243,0,"IUCN",16.239,88.468,2.369,"Sparidae",423
"ITS-Mam-180459","Peponocephala electra",1,16564,"Unknown","LC","MARINE_MAMMALS",16564,"iucn",197338226.7,166376959.9,181252914.2,75.078,9,15.921,0,"AM",19.1,91.793,48.926,NA,360
"ITS-Mam-180649","Phoca vitulina",1,17013,"Stable","LC","MARINE_MAMMALS",17013,"iucn",14652525.7,10175227,10454583,37.995,30.743,31.262,0,"AM",16.5,97.328,2.822,NA,907
"ITS-Mam-180617","Phocarctos hookeri",1,17026,"Decreasing","EN","MARINE_MAMMALS",17026,"iucn",1837863,1569340.6,971392.6,38.835,45.307,15.858,0,"IUCN",14.424,61.898,0.424,NA,18
"ITS-Mam-180473","Phocoena phocoena",1,17027,"Unknown","LC","MARINE_MAMMALS",17027,"iucn_parent",20802346.4,16813180.7,14442983.5,51.42,25.601,22.979,0,"IUCN",16.851,85.903,4.538,NA,1574
"ITS-Mam-180474","Phocoena sinus",1,17028,"Decreasing","CR","MARINE_MAMMALS",17028,"iucn",128932.4,126258.5,36999.8,27.083,70.833,2.083,0,"IUCN",11.767,29.305,0.034,NA,10
"ITS-Mam-180476","Phocoena spinipinnis",1,17029,"Unknown","DD","MARINE_MAMMALS",17029,"iucn",2717507.5,2717507.5,0,0,100,0,NA,"IUCN",14.815,0,0.734,NA,23
"ITS-Mam-180480","Phocoenoides dalli",1,17032,"Unknown","LC","MARINE_MAMMALS",17032,"iucn",24450337.1,21179411,22614613,80.883,7.654,11.463,0,"AM",17.012,93.654,6.104,NA,577
"ITS-Mam-180411","Pontoporia blainvillei",1,17978,"Decreasing","VU","MARINE_MAMMALS",17978,"iucn_parent",883109.2,821046.2,624968.8,63.743,29.532,6.725,0,"IUCN",13.691,76.119,0.222,NA,34
"ITS-Mam-180463","Pseudorca crassidens",1,18596,"Unknown","DD","MARINE_MAMMALS",18596,"iucn",275894286.1,275894286.1,0,0,100,0,NA,"IUCN",19.436,0,74.473,NA,593
"Fis-30607","Scarus guacamaia",NA,19950,"Decreasing","NT","WRASSE",19950,"iucn",4753140.2,3199495.2,3133299.7,32.948,34.65,32.401,0,"IUCN",15.374,97.931,0.864,NA,87
"Fis-22821","Scomberomorus concolor",1,20047,"Decreasing","VU","TUNAS_BILLFISHES",20047,"iucn",489470.6,170359.8,445698.6,25,8.511,66.489,0,"AM",13.101,38.223,0.12,"Tunas/Billfishes",21
"ITS-180419","Sousa chinensis",1,20424,"Decreasing","NT","MARINE_MAMMALS",20424,"iucn_parent",20058211.6,11169276.7,18122361.5,45.928,9.933,44.139,0,"AM",16.814,61.633,4.892,NA,28
"ITS-Mam-180430","Stenella attenuata",1,20729,"Unknown","LC","MARINE_MAMMALS",20729,"iucn",245597248.1,241519664,215241798.3,84.179,14.033,1.787,0,"IUCN",19.319,89.12,65.194,NA,1813
"ITS-Mam-180435","Stenella clymene",1,20730,"Unknown","DD","MARINE_MAMMALS",20730,"iucn",47069295.4,47069295.4,0,0,100,0,NA,"IUCN",17.667,0,12.706,NA,171
"ITS-Mam-180434","Stenella coeruleoalba",1,20731,"Unknown","LC","MARINE_MAMMALS",20731,"iucn_parent",279481214.8,276385027.4,258640724,89.734,8.966,1.3,0,"IUCN",19.448,93.58,74.605,NA,1830
"ITS-Mam-552460","Stenella frontalis",1,20732,"Unknown","DD","MARINE_MAMMALS",20732,"iucn",39446679.6,39446679.6,0,0,100,0,NA,"IUCN",17.49,0,10.648,NA,386
"ITS-Mam-180429","Stenella longirostris",1,20733,"Unknown","DD","MARINE_MAMMALS",20733,"iucn_parent",176653661.6,176653661.6,0,0,100,0,NA,"IUCN",18.99,0,47.684,NA,951
"ITS-Mam-180417","Steno bredanensis",1,20738,"Unknown","LC","MARINE_MAMMALS",20738,"iucn",248296098,244811805.4,215438498.3,83.494,14.988,1.518,0,"IUCN",19.33,88.002,66.083,NA,613
"Fis-28765","Takifugu niphobles",NA,21341,"Decreasing","LC","PUFFERFISH",21341,"iucn",2903430.1,1263998.2,2701051.4,35.799,7.215,56.986,0,"AM",14.881,46.797,0.729,"Pufferfish",36
"Fis-55125","Takifugu poecilonotus",NA,21342,"Unknown","LC","PUFFERFISH",21342,"iucn",2170920.1,1182782.5,1716592.4,34.23,19.56,46.21,0,"AM",14.591,68.903,0.463,"Pufferfish",30
"Fis-28762","Takifugu xanthopterus",NA,21343,"Decreasing","LC","PUFFERFISH",21343,"iucn",2309836.6,1012316.5,2244354,40.919,2.915,56.166,0,"AM",14.653,45.105,0.606,"Pufferfish",24
"ITS-Mam-180500","Tasmacetus shepherdi",NA,21500,"Unknown","DD","MARINE_MAMMALS",21500,"iucn",75076023.8,75076023.8,0,0,100,0,NA,"IUCN",18.134,0,20.265,NA,35
"Fis-52020","Thalassoma ascensionis",1,21689,"Unknown","DD","WRASSE",21689,"iucn",27397.6,27397.6,0,0,100,0,NA,"IUCN",10.218,0,0.007,NA,10
"Fis-22832","Thunnus alalunga",1,21856,"Decreasing","NT","TUNAS_BILLFISHES",21856,"iucn",274225723,269248617.3,203930304.6,71.645,25.975,2.381,0,"IUCN",19.429,75.741,72.679,"Tunas/Billfishes",4567
"Fis-22833","Thunnus albacares",1,21857,"Decreasing","NT","TUNAS_BILLFISHES",21857,"iucn",269697892.1,269469422.2,215117773.9,76.683,23.238,0.079,0,"IUCN",19.413,79.83,72.738,"Tunas/Billfishes",6801
"Fis-22835","Thunnus maccoyii",1,21858,"Decreasing","CR","TUNAS_BILLFISHES",21858,"iucn",99802184.8,93060915.9,68311167.6,62.376,31.081,6.543,0,"IUCN",18.419,73.405,25.12,"Tunas/Billfishes",578
"Fis-22836","Thunnus obesus",1,21859,"Decreasing","VU","TUNAS_BILLFISHES",21859,"iucn",NA,254819593.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tunas/Billfishes",5330
"Fis-49220","Thunnus thynnus",1,21860,"Decreasing","EN","TUNAS_BILLFISHES",21860,"iucn",77325027.1,75143032.9,34104514.9,41.835,54.135,4.031,0,"IUCN",18.164,45.386,20.284,"Tunas/Billfishes",1397
"Fis-27843","Torquigener brevipinnis",NA,21994,"Unknown","LC","PUFFERFISH",21994,"iucn",13814029.9,11636817,4608580,17.256,67.31,15.435,0,"IUCN",16.441,39.603,3.141,"Pufferfish",23
"ITS-Mam-180684","Trichechus manatus",1,22103,"Decreasing","VU","MARINE_MAMMALS",22103,"iucn_parent",3594812.1,1831753.8,3183963.6,39.387,11.622,48.991,0,"AM",15.095,57.531,0.859,NA,81
"ITS-Mam-180426","Tursiops truncatus",1,22563,"Unknown","LC","MARINE_MAMMALS",22563,"iucn_parent",309353619.8,305863039,260861304,78.678,20.238,1.083,0,"IUCN",19.55,85.287,82.562,NA,2155
"Fis-29576","Xiphias gladius",1,23148,"Decreasing","LC","TUNAS_BILLFISHES",23148,"iucn_parent",297465340.1,285207860.7,273496990.7,85.952,8.263,5.784,0,"IUCN",19.511,95.894,76.987,"Tunas/Billfishes",5733
