am_sid,am_category,reviewed,sciname,name_verified
Fis-32200,NA,null,Achiropsetta tricholepis,TRUE
Fis-26599,NA,null,Achirus achirus,TRUE
Fis-128376,NA,null,Achirus declivis,TRUE
Fis-28883,LC,null,Achirus klunzingeri,TRUE
Fis-24400,NA,null,Achirus lineatus,TRUE
Fis-27804,LC,1,Achirus mazatlanus,TRUE
Fis-28885,LC,null,Achirus scutum,TRUE
Fis-29141,VU,null,Achoerodus gouldii,TRUE
Fis-29585,VU,1,Acipenser brevirostrum,TRUE
Fis-29588,NT,1,Acipenser medirostris,TRUE
Fis-58742,NT,1,Acipenser oxyrinchus,TRUE
Fis-29593,CR,1,Acipenser sturio,TRUE
Fis-29594,LC,null,Acipenser transmontanus,TRUE
Fis-26784,NA,null,Acreichthys radiatus,TRUE
Fis-26724,NA,1,Acreichthys tomentosus,TRUE
Fis-143375,LC,null,Acromycter perturbator,TRUE
Fis-33256,NA,null,Acropoma hanedai,TRUE
Fis-47983,NA,null,Acropoma japonicum,TRUE
Fis-29262,DD,null,Aculeola nigra,TRUE
Fis-24401,NA,null,Acyrtops beryllinus,TRUE
Fis-50003,NA,null,Acyrtus rubiginosus,TRUE
Fis-54506,NA,null,Adelosebastes latens,TRUE
Fis-62464,NA,null,Adventor elongatus,TRUE
Fis-32617,NA,null,Aeoliscus punctulatus,TRUE
Fis-26161,NA,1,Aeoliscus strigatus,TRUE
Fis-32561,NA,null,Aesopia cornuta,TRUE
Fis-28341,NA,null,Aetapcus maculatus,TRUE
Fis-145105,NA,null,Aethotaxis mitopteryx mitopteryx,TRUE
Fis-27240,EN,null,Aetobatus flagellum,TRUE
Fis-23322,NT,1,Aetobatus narinari,TRUE
Fis-28563,NA,null,Aetobatus ocellatus,TRUE
Fis-28560,EN,null,Aetomylaeus maculatus,TRUE
Fis-28561,NA,null,Aetomylaeus milvus,TRUE
Fis-27676,VU,1,Aetomylaeus nichofii,TRUE
Fis-28562,EN,1,Aetomylaeus vespertilio,TRUE
Fis-30759,NA,null,Agonomalus mozinoi,TRUE
Fis-28693,NA,null,Agonopsis chiloensis,TRUE
Fis-24403,NA,null,Agonopsis sterletus,TRUE
Fis-24404,NA,null,Agonopsis vulsa,TRUE
Fis-23323,LC,null,Agonostomus monticola,TRUE
Fis-22710,NA,null,Agonus cataphractus,TRUE
Fis-50293,NA,null,Agrostichthys parkeri,TRUE
Fis-23895,NA,null,Ahlia egmontis,TRUE
Fis-33219,NA,null,Ahliesaurus berryi,TRUE
Fis-59174,NA,null,Aidablennius sphynx,TRUE
Fis-149233,NA,null,Aioliops tetrophthalmus,TRUE
Fis-26397,LC,null,Akarotaxis nudiceps,TRUE
Fis-125488,NA,null,Alabes dorsalis,TRUE
Fis-125495,NA,null,Alabes hoesei,TRUE
Fis-156711,NA,null,Alabes occidentalis,TRUE
Fis-156684,NA,null,Alabes parvula,TRUE
Fis-27016,NA,null,Albatrossia pectoralis,TRUE
Fis-142645,DD,null,Albula argentea,TRUE
Fis-161121,DD,null,Albula oligolepis,TRUE
Fis-150540,LC,null,Alcichthys elongatus,TRUE
Fis-28698,NA,1,Aldrichetta forsteri,TRUE
Fis-26565,NA,null,Aldrovandia affinis,TRUE
Fis-33132,NA,null,Aldrovandia gracilis,TRUE
Fis-33133,NA,null,Aldrovandia oleosa,TRUE
Fis-27254,NA,null,Aldrovandia phalacra,TRUE
Fis-13508,NA,null,Alectis alexandrina,TRUE
Fis-22977,LC,null,Alectis ciliaris,TRUE
Fis-8344,NA,null,Alectis indica,TRUE
Fis-24407,NA,null,Alectrias alectrolophus,TRUE
Fis-47256,NA,null,Alepes apercna,TRUE
Fis-23325,NA,1,Alepes djedaba,TRUE
Fis-142089,NA,1,Alepes kleinii,TRUE
Fis-29600,NA,1,Alepes melanoptera,TRUE
Fis-23326,LC,null,Alepes vari,TRUE
Fis-29601,NA,1,Alepisaurus brevirostris,TRUE
Fis-29263,LC,null,Alepisaurus ferox,TRUE
Fis-33231,NA,null,Alepocephalus agassizii,TRUE
Fis-33232,NA,null,Alepocephalus australis,TRUE
Fis-29264,NA,1,Alepocephalus bairdii,TRUE
Fis-32435,NA,null,Alepocephalus bicolor,TRUE
Fis-33746,NA,null,Alepocephalus productus,TRUE
Fis-31228,NA,null,Alepocephalus rostratus,TRUE
Fis-34713,NA,null,Alepocephalus tenebrosus,TRUE
Fis-114167,NA,null,Alertichthys blacki,TRUE
Fis-162802,NA,null,Alionematichthys crassiceps,TRUE
Fis-162810,NA,null,Alionematichthys minyomma,TRUE
Fis-162812,NA,null,Alionematichthys piger,TRUE
Fis-162804,NA,null,Alionematichthys plicatosurculus,TRUE
Fis-162811,NA,null,Alionematichthys riukiuensis,TRUE
Fis-162808,NA,null,Alionematichthys winterbottomi,TRUE
Fis-123779,NA,null,Allenbatrachus grunniens,TRUE
Fis-123785,NA,null,Allenbatrachus reticulatus,TRUE
Fis-50498,NA,null,Alloblennius parvus,TRUE
Fis-144041,NA,null,Allocareproctus jordani,TRUE
Fis-158070,NA,null,Allocareproctus unangas,TRUE
Fis-34768,NA,null,Allocyttus folletti,TRUE
Fis-33207,NA,null,Allocyttus guineensis,TRUE
Fis-35430,NA,null,Allocyttus niger,TRUE
Fis-27309,NA,null,Allocyttus verrucosus,TRUE
Fis-35884,DD,null,Allomycterus pilatus,TRUE
Fis-23897,NA,1,Allosmerus elongatus,TRUE
Fis-29265,LC,1,Allothunnus fallai,TRUE
Fis-31568,VU,1,Alopias pelagicus,TRUE
Fis-23898,VU,1,Alopias superciliosus,TRUE
Fis-23899,VU,1,Alopias vulpinus,TRUE
Fis-23327,VU,null,Alosa aestivalis,TRUE
Fis-25577,LC,1,Alosa fallax,TRUE
Fis-23333,LC,1,Alosa mediocris,TRUE
Fis-23334,LC,1,Alosa pseudoharengus,TRUE
Fis-23335,LC,null,Alosa sapidissima,TRUE
Fis-27135,LC,null,Alphestes afer,TRUE
Fis-32974,LC,null,Alphestes immaculatus,TRUE
Fis-113010,NA,null,Alticus kirkii,TRUE
Fis-33723,NA,null,Alticus monochrus,TRUE
Fis-130767,NA,null,Alticus saliens,TRUE
Fis-30760,NA,1,Aluterus heudelotii,TRUE
Fis-24409,NA,1,Aluterus monoceros,TRUE
Fis-24410,NA,null,Aluterus scriptus,TRUE
Fis-26252,NA,null,Amanses scopas,TRUE
Fis-30981,NA,null,Amarsipus carlsbergi,TRUE
Fis-151217,LC,null,Ambassis ambassis,TRUE
Fis-33712,LC,null,Ambassis dussumieri,TRUE
Fis-25324,LC,null,Ambassis gymnocephalus,TRUE
Fis-31253,LC,null,Ambassis interrupta,TRUE
Fis-35961,NA,null,Ambassis jacksoniensis,TRUE
Fis-6932,NA,null,Ambassis kopsii,TRUE
Fis-33258,LC,null,Ambassis miops,TRUE
Fis-29250,LC,null,Ambassis nalua,TRUE
Fis-32635,NA,null,Ambassis natalensis,TRUE
Fis-33259,LC,null,Ambassis urotaenia,TRUE
Fis-35964,LC,null,Ambassis vachellii,TRUE
Fis-126971,NA,null,Ambiserrula jugosa,TRUE
Fis-25841,NA,null,Amblycirrhitus bimacula,TRUE
Fis-24412,NA,null,Amblycirrhitus pinos,TRUE
Fis-53955,NA,null,Amblycirrhitus unimacula,TRUE
Fis-28588,NA,null,Amblyeleotris aurora,TRUE
Fis-21787,NA,null,Amblyeleotris diagonalis,TRUE
Fis-26445,NA,1,Amblyeleotris fasciata,TRUE
Fis-26446,NA,null,Amblyeleotris fontanesii,TRUE
Fis-28147,NA,null,Amblyeleotris gymnocephala,TRUE
Fis-114255,NA,null,Amblyeleotris latifasciata,TRUE
Fis-35318,NA,null,Amblyeleotris ogasawarensis,TRUE
Fis-57970,NA,null,Amblyeleotris periophthalma,TRUE
Fis-32251,NA,null,Amblyeleotris randalli,TRUE
Fis-149590,NA,null,Amblyeleotris rubrimarginata,TRUE
Fis-26420,NA,null,Amblyeleotris steinitzi,TRUE
Fis-26421,NA,null,Amblyeleotris wheeleri,TRUE
Fis-113272,NA,null,Amblyeleotris yanoi,TRUE
Fis-29610,NA,null,Amblygaster clupeoides,TRUE
Fis-23339,NA,null,Amblygaster leiogaster,TRUE
Fis-23340,NA,1,Amblygaster sirm,TRUE
Fis-25765,NA,1,Amblyglyphidodon aureus,TRUE
Fis-132098,NA,null,Amblyglyphidodon batunai,TRUE
Fis-25647,NA,1,Amblyglyphidodon curacao,TRUE
Fis-25766,NA,1,Amblyglyphidodon leucogaster,TRUE
Fis-25767,NA,null,Amblyglyphidodon ternatensis,TRUE
Fis-26255,NA,null,Amblygobius albimaculatus,TRUE
Fis-138801,LC,null,Amblygobius buanensis,TRUE
Fis-135734,NA,null,Amblygobius bynoensis,TRUE
Fis-26422,NA,null,Amblygobius decussatus,TRUE
Fis-31863,NA,null,Amblygobius linki,TRUE
Fis-26455,NA,null,Amblygobius nocturnus,TRUE
Fis-26423,NA,null,Amblygobius phalaena,TRUE
Fis-58043,NA,null,Amblygobius semicinctus,TRUE
Fis-26424,NA,null,Amblygobius sphynx,TRUE
Fis-144725,NA,null,Amblyotrypauchen arctocephalus,TRUE
Fis-27470,NA,null,Amblypomacentrus breviceps,TRUE
Fis-132004,LC,null,Amblyraja doellojuradoi,TRUE
Fis-131851,DD,null,Amblyraja georgiana,TRUE
Fis-131852,LC,null,Amblyraja hyperborea,TRUE
Fis-131855,LC,null,Amblyraja jenseni,TRUE
Fis-131853,VU,1,Amblyraja radiata,TRUE
Fis-132542,DD,null,Amblyraja taaf,TRUE
Fis-26842,NA,null,Amblyrhynchotes honckenii,TRUE
Fis-142497,NA,null,Ambophthalmos angustus,TRUE
Fis-169602,NA,null,Amioides polyacanthus,FALSE
Fis-159682,NA,null,Amissidens hainesi,TRUE
Fis-29618,NA,null,Ammodytes americanus,TRUE
Fis-29619,NA,null,Ammodytes dubius,TRUE
Fis-29620,NA,null,Ammodytes hexapterus,TRUE
Fis-29267,NA,null,Ammodytes marinus,TRUE
Fis-29268,NA,null,Ammodytes personatus,TRUE
Fis-29269,NA,null,Ammodytes tobianus,TRUE
Fis-138579,LC,null,Ammodytoides gilli,TRUE
Fis-29171,NA,null,Ammotretis lituratus,TRUE
Fis-33020,NA,null,Ammotretis rostratus,TRUE
Fis-29218,NA,null,Amniataba caudavittata,TRUE
Fis-146212,NA,null,Amoya gracilis,TRUE
Fis-13933,NA,null,Amphelikturus dendriticus,TRUE
Fis-159662,NA,null,Amphiarius phrygiatus,TRUE
Fis-159835,NA,null,Amphiarius rugispinis,TRUE
Fis-28538,LC,null,Amphichaetodon howensis,TRUE
Fis-22978,LC,null,Amphichthys cryptocentrus,TRUE
Fis-32636,NA,null,Amphiprion akallopisos,TRUE
Fis-34928,NA,null,Amphiprion akindynos,TRUE
Fis-34859,NA,1,Amphiprion allardi,TRUE
Fis-34860,NA,null,Amphiprion bicinctus,TRUE
Fis-31016,NA,null,Amphiprion chrysopterus,TRUE
Fis-25631,NA,1,Amphiprion clarkii,TRUE
Fis-28226,NA,1,Amphiprion ephippium,TRUE
Fis-31864,NA,1,Amphiprion frenatus,TRUE
Fis-33247,NA,null,Amphiprion latezonatus,TRUE
Fis-58054,NA,null,Amphiprion leucokranos,TRUE
Fis-31052,NA,null,Amphiprion melanopus,TRUE
Fis-32543,NA,null,Amphiprion nigripes,TRUE
Fis-31857,NA,1,Amphiprion ocellaris,TRUE
Fis-27335,NA,1,Amphiprion percula,TRUE
Fis-29622,NA,1,Amphiprion perideraion,TRUE
Fis-32656,NA,1,Amphiprion polymnus,TRUE
Fis-33250,NA,null,Amphiprion rubrocinctus,TRUE
Fis-31865,LC,null,Amphiprion sandaracinos,TRUE
Fis-34867,NA,null,Amphiprion sebae,TRUE
Fis-29623,NA,null,Amphistichus argenteus,TRUE
Fis-24417,LC,null,Amphistichus koelzi,TRUE
Fis-24418,NA,null,Amphistichus rhodoterus,TRUE
Fis-164872,NA,null,Amsichthys knighti,TRUE
Fis-63249,DD,null,Anacanthobatis americana,TRUE
Fis-126296,DD,1,Anacanthobatis folirostris,TRUE
Fis-126299,DD,null,Anacanthobatis longirostris,TRUE
Fis-32706,LC,null,Anacanthus barbatus,TRUE
Fis-31132,LC,1,Anampses caeruleopunctatus,TRUE
Fis-31144,LC,null,Anampses cuvier,TRUE
Fis-31146,LC,null,Anampses elegans,TRUE
Fis-31136,LC,null,Anampses femininus,TRUE
Fis-31135,LC,null,Anampses geographicus,TRUE
Fis-31145,LC,null,Anampses lennardi,TRUE
Fis-32535,DD,null,Anampses lineatus,TRUE
Fis-31471,LC,null,Anampses melanurus,TRUE
Fis-31133,LC,1,Anampses meleagrides,TRUE
Fis-31134,LC,null,Anampses neoguinaicus,TRUE
Fis-31137,LC,null,Anampses twistii,TRUE
Fis-51774,NA,null,Anaora tentaculata,TRUE
Fis-31847,NA,null,Anarchias allardicei,TRUE
Fis-26149,NA,null,Anarchias cantonensis,TRUE
Fis-27263,NA,null,Anarchias euryurus,TRUE
Fis-28980,LC,null,Anarchias galapagensis,TRUE
Fis-143503,NA,null,Anarchias leucurus,TRUE
Fis-23903,NA,null,Anarchias similis,TRUE
Fis-24778,NA,null,Anarchopterus tectus,TRUE
Fis-29624,NA,null,Anarhichas denticulatus,TRUE
Fis-29625,NA,1,Anarhichas lupus,TRUE
Fis-29626,NA,null,Anarhichas minor,TRUE
Fis-29627,NA,1,Anarhichas orientalis,TRUE
Fis-29628,NA,1,Anarrhichthys ocellatus,TRUE
Fis-23341,LC,null,Anchoa argentivittata,TRUE
Fis-23343,NA,null,Anchoa cayorum,TRUE
Fis-29630,NA,null,Anchoa colonensis,TRUE
Fis-23345,NA,null,Anchoa compressa,TRUE
Fis-23346,NA,null,Anchoa cubana,TRUE
Fis-22842,LC,null,Anchoa curta,TRUE
Fis-22844,LC,1,Anchoa eigenmannia,TRUE
Fis-23347,LC,null,Anchoa exigua,TRUE
Fis-22980,NA,null,Anchoa filifera,TRUE
Fis-23348,LC,null,Anchoa helleri,TRUE
Fis-23349,NA,1,Anchoa hepsetus,TRUE
Fis-23350,LC,1,Anchoa ischana,TRUE
Fis-29631,NA,null,Anchoa lamprotaenia,TRUE
Fis-22982,LC,null,Anchoa lucida,TRUE
Fis-23351,NA,1,Anchoa lyolepis,TRUE
Fis-23352,LC,null,Anchoa nasus,TRUE
Fis-22987,NA,null,Anchoa parva,TRUE
Fis-22989,NA,null,Anchoa spinifer,TRUE
Fis-22990,LC,null,Anchoa starksi,TRUE
Fis-29272,LC,null,Anchoa walkeri,TRUE
Fis-22994,NA,null,Anchovia clupeoides,TRUE
Fis-22995,LC,null,Anchovia macrolepidota,TRUE
Fis-23355,LC,null,Anchoviella brevirostris,TRUE
Fis-23360,NA,null,Anchoviella lepidentostole,TRUE
Fis-23362,NA,null,Anchoviella perfasciata,TRUE
Fis-163904,NA,null,Ancistrogobius dipus,TRUE
Fis-163907,NA,null,Ancistrogobius yoshigoui,TRUE
Fis-144180,NA,null,Ancylopsetta antillarum,TRUE
Fis-32400,LC,null,Ancylopsetta cycloidea,TRUE
Fis-32725,LC,null,Ancylopsetta dendritica,TRUE
Fis-24419,NA,null,Ancylopsetta dilecta,TRUE
Fis-32401,DD,null,Ancylopsetta kumperae,TRUE
Fis-149852,NA,null,Ancylopsetta ommata,TRUE
Fis-26680,NA,null,Andamia reyi,TRUE
Fis-54337,NA,null,Andamia tetradactylus,TRUE
Fis-22711,CR,1,Anguilla anguilla,TRUE
Fis-147517,NA,null,Anguilla australis australis,TRUE
Fis-8951,NT,null,Anguilla bicolor,TRUE
Fis-34672,NT,null,Anguilla celebesensis,TRUE
Fis-35153,DD,null,Anguilla megastoma,TRUE
Fis-23366,LC,null,Anguilla mossambica,TRUE
Fis-32394,DD,null,Anguilla obscura,TRUE
Fis-32395,NA,null,Anguilla reinhardtii,TRUE
Fis-22845,EN,1,Anguilla rostrata,TRUE
Fis-24753,NA,null,Anisarchus medius,TRUE
Fis-28954,LC,null,Anisotremus caesius,TRUE
Fis-24420,LC,null,Anisotremus davidsonii,TRUE
Fis-26928,LC,null,Anisotremus interruptus,TRUE
Fis-26930,LC,null,Anisotremus scapularis,TRUE
Fis-35611,LC,null,Anisotremus taeniatus,TRUE
Fis-23368,NA,1,Anisotremus virginicus,TRUE
Fis-23369,NA,null,Anodontostoma chacunda,TRUE
Fis-29638,LC,null,Anodontostoma thailandiae,TRUE
Fis-26415,NA,1,Anomalops katoptron,TRUE
Fis-24421,NA,null,Anoplagonus inermis,TRUE
Fis-29639,NA,null,Anoplarchus insignis,TRUE
Fis-29640,NA,null,Anoplarchus purpurescens,TRUE
Fis-35880,NA,null,Anoplocapros amygdaloides,TRUE
Fis-29185,LC,null,Anoplocapros inermis,TRUE
Fis-29186,NA,null,Anoplocapros lenticularis,TRUE
Fis-34960,NA,null,Anoplogaster brachycera,TRUE
Fis-23904,NA,null,Anoplogaster cornuta,TRUE
Fis-22996,NA,1,Anoplopoma fimbria,TRUE
Fis-148363,NA,null,Anotopterus nikparini,TRUE
Fis-29641,NA,null,Anotopterus pharao,TRUE
Fis-26906,EN,1,Anoxypristis cuspidata,TRUE
Fis-32641,NA,null,Antennablennius australis,TRUE
Fis-26821,NA,null,Antennablennius bifilum,TRUE
Fis-113013,NA,null,Antennablennius hypenetes,TRUE
Fis-113018,NA,null,Antennablennius variopunctatus,TRUE
Fis-28056,NA,null,Antennarius biocellatus,TRUE
Fis-163998,NA,null,Antennarius commerson,TRUE
Fis-26844,NA,null,Antennarius hispidus,TRUE
Fis-54289,NA,null,Antennarius indicus,TRUE
Fis-27352,NA,null,Antennarius maculatus,TRUE
Fis-24422,NA,null,Antennarius multiocellatus,TRUE
Fis-25440,NA,null,Antennarius pardalis,TRUE
Fis-29643,NA,null,Antennarius pauciradiatus,TRUE
Fis-27743,NA,null,Antennarius pictus,TRUE
Fis-32292,NA,null,Antennarius randalli,TRUE
Fis-25646,NA,null,Antennarius striatus,TRUE
Fis-166689,LC,null,Antennatus analis,FALSE
Fis-166691,NA,null,Antennatus coccineus,TRUE
Fis-166692,NA,null,Antennatus dorehensis,FALSE
Fis-145058,NA,null,Antennatus linearis,TRUE
Fis-166694,NA,null,Antennatus nummifer,TRUE
Fis-166695,NA,null,Antennatus rosaceus,TRUE
Fis-58200,LC,null,Antennatus sanguineus,TRUE
Fis-28890,LC,null,Antennatus strigatus,TRUE
Fis-28075,NA,null,Antennatus tuberosus,TRUE
Fis-23371,NA,1,Anthias anthias,TRUE
Fis-138831,NA,null,Anthias menezesi,TRUE
Fis-29646,NA,null,Anthias nicholsi,TRUE
Fis-138829,NA,null,Anthias woodsi,TRUE
Fis-29648,NA,null,Antigonia capros,TRUE
Fis-29649,LC,null,Antigonia combatia,TRUE
Fis-144342,NA,null,Antigonia eos,TRUE
Fis-144339,NA,null,Antigonia indica,TRUE
Fis-34066,NA,null,Antigonia malayana,TRUE
Fis-35779,NA,null,Antigonia rhomboidea,TRUE
Fis-26628,NA,null,Antigonia rubescens,TRUE
Fis-144381,NA,null,Antigonia rubicunda,TRUE
Fis-158649,NA,null,Antigonia undulata,TRUE
Fis-29650,DD,null,Antimora microlepis,TRUE
Fis-23905,NA,null,Antimora rostrata,TRUE
Fis-25382,LC,null,Anyperodon leucogrammicus,TRUE
Fis-24424,LC,null,Apeltes quadracus,TRUE
Fis-4273,LC,null,Aphanius dispar dispar,TRUE
Fis-25345,LC,null,Aphanius fasciatus,TRUE
Fis-144330,NA,null,Aphanopus arigato,TRUE
Fis-29275,NA,1,Aphanopus carbo,TRUE
Fis-32889,NA,null,Aphanopus intermedius,TRUE
Fis-22737,NA,null,Aphareus furca,TRUE
Fis-29276,NA,null,Aphareus rutilans,TRUE
Fis-22712,NA,1,Aphia minuta,TRUE
Fis-122901,LC,null,Aphos porosus,TRUE
Fis-33130,NA,null,Aphyonus gelatinosus,TRUE
Fis-32690,NA,null,Apionichthys dumerili,TRUE
Fis-27763,NA,null,Apistops caloundra,TRUE
Fis-26087,NA,null,Apistus carinatus,TRUE
Fis-32411,NA,null,Aplatophis chauliodus,TRUE
Fis-27327,NA,null,Apletodon dentatus,TRUE
Fis-50088,NA,null,Apletodon pellegrini,TRUE
Fis-33261,NA,null,Aploactis aspera,TRUE
Fis-126895,NA,1,Aploactisoma milesii,TRUE
Fis-114203,NA,1,Aplodactylus arctidens,TRUE
Fis-136682,NA,null,Aplodactylus lophodon,TRUE
Fis-26491,NA,null,Apocryptodon madurensis,TRUE
Fis-29659,NA,null,Apodichthys flavidus,TRUE
Fis-10690,NA,null,Apodichthys fucorum,TRUE
Fis-61800,NA,null,Apogon americanus,TRUE
Fis-58216,LC,null,Apogon atradorsatus,TRUE
Fis-113429,LC,null,Apogon atricaudus,TRUE
Fis-24427,NA,null,Apogon aurolineatus,TRUE
Fis-24428,NA,null,Apogon binotatus,TRUE
Fis-159576,NA,null,Apogon campbelli,TRUE
Fis-142092,NA,null,Apogon caudicinctus,TRUE
Fis-31516,NA,1,Apogon coccineus,TRUE
Fis-35439,NA,null,Apogon crassiceps,TRUE
Fis-62558,NA,null,Apogon dammermani,TRUE
Fis-147939,NA,null,Apogon dianthus,TRUE
Fis-25801,NA,null,Apogon doryssa,TRUE
Fis-32737,LC,1,Apogon dovii,TRUE
Fis-35443,NA,null,Apogon erythrinus,TRUE
Fis-24429,LC,null,Apogon guadalupensis,TRUE
Fis-23372,NA,null,Apogon imberbis,TRUE
Fis-146598,LC,null,Apogon indicus,TRUE
Fis-29660,NA,null,Apogon lachneri,TRUE
Fis-24430,NA,null,Apogon maculatus,TRUE
Fis-54168,NA,null,Apogon nitidus,TRUE
Fis-137761,LC,null,Apogon pacificus,TRUE
Fis-29662,NA,null,Apogon phenax,TRUE
Fis-29663,NA,null,Apogon pillionatus,TRUE
Fis-29664,NA,null,Apogon planifrons,TRUE
Fis-147924,NA,null,Apogon posterofasciatus,TRUE
