"","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area"
"48","ITS-552924",170092,"Nephropsis sulcata",NA,NA,"LOBSTERS","LC","Unknown",7251376.03044304,6161590.65229623
"49","ITS-552934",170050,"Metanephrops boschmai",NA,NA,"LOBSTERS","LC","Decreasing",211989.913633694,745586.232742428
"50","ITS-552935",169972,"Metanephrops challengeri",NA,NA,"LOBSTERS","LC","Unknown",741592.665802284,1212963.13217459
"51","ITS-552945",170064,"Metanephrops velutinus",NA,NA,"LOBSTERS","LC","Unknown",2710255.46670711,2193146.33911328
"52","ITS-552953",170072,"Jasus lalandii",NA,NA,"LOBSTERS","LC","Stable",181430.929054567,405096.039010623
"53","NZ-7290",170017,"Sagmariasus verreauxi",NA,NA,"LOBSTERS","LC","Unknown",548635.075337798,1006415.07331412
"54","ITS-552961",170070,"Linuparus sordidus",NA,NA,"LOBSTERS","LC","Unknown",807870.175192363,1567231.1032412
"55","ITS-552962",170054,"Linuparus trigonus",NA,NA,"LOBSTERS","LC","Unknown",8334790.51914454,2218572.89636304
"56","ITS-552965",169999,"Palinurus gilchristi",NA,NA,"LOBSTERS","LC","Increasing",393723.421393827,253240.317945374
"57","ITS-552966",170035,"Palinurus mauritanicus",NA,NA,"LOBSTERS","LC","Unknown",1405502.05728029,2009574.56976384
"58","ITS-552973",170062,"Panulirus homarus",NA,NA,"LOBSTERS","LC","Unknown",14688263.8438578,17326573.5573956
"59","ITS-552976",170066,"Panulirus longipes",NA,NA,"LOBSTERS","LC","Unknown",15094720.241595,7200018.40733908
"60","ITS-552977",169987,"Panulirus ornatus",NA,NA,"LOBSTERS","LC","Stable",14894148.7776025,8431757.52879485
"61","ITS-552979",169990,"Panulirus polyphagus",NA,NA,"LOBSTERS","LC","Unknown",7659637.00991805,3856322.74624412
"62","ITS-552984",170042,"Projasus parkeri",NA,NA,"LOBSTERS","LC","Unknown",1084741.52443268,902789.331010592
"63","ITS-552985",170080,"Puerulus angulatus",NA,NA,"LOBSTERS","LC","Unknown",7246054.62928008,2081871.89474344
"64","ITS-552987",170011,"Puerulus sewelli",NA,NA,"LOBSTERS","LC","Unknown",1070387.77393356,1613641.64974229
"65","ITS-552997",170034,"Arctides antipodarum",NA,NA,"LOBSTERS","LC","Unknown",182758.248149024,874370.639630524
"66","ITS-553004",170002,"Scyllarides elisabethae",NA,NA,"LOBSTERS","LC","Unknown",297082.835730416,321366.798464013
"67","ITS-553008",169969,"Evibacus princeps",NA,NA,"LOBSTERS","LC","Unknown",783338.323861848,1319191.15629811
"68","ITS-553010",170026,"Ibacus brevipes",NA,NA,"LOBSTERS","LC","Unknown",4427948.67802635,2317451.5914144
"69","ITS-553013",170023,"Ibacus novemdentatus",NA,NA,"LOBSTERS","LC","Unknown",10805842.7995993,5064038.07549748
"70","ITS-553014",169984,"Ibacus peronii",NA,NA,"LOBSTERS","LC","Stable",896060.799123805,1226747.85473098
"71","SLB-184956",170004,"Remiarctus bertholdii",NA,NA,"LOBSTERS","LC","Unknown",7541349.28111699,6093684.95689868
"72","ITS-97309",169958,"Nephropsis aculeata",NA,NA,"LOBSTERS","LC","Unknown",2680177.57023461,7776528.48470517
"73","ITS-97310",170082,"Nephropsis agassizii",NA,NA,"LOBSTERS","LC","Unknown",2956311.5182439,3841042.53987827
"74","ITS-97311",169986,"Nephropsis rosea",NA,NA,"LOBSTERS","LC","Unknown",2583262.03983383,5924940.29279626
"75","ITS-97312",169973,"Nephropsis neglecta",NA,NA,"LOBSTERS","LC","Unknown",1255300.16341671,2758200.26377052
"76","ITS-97314",170009,"Homarus americanus",NA,NA,"LOBSTERS","LC","Stable",1435925.72704903,1369690.25207272
"77","ITS-97315",169955,"Homarus gammarus",NA,NA,"LOBSTERS","LC","Stable",3192549.65727237,4716932.82571054
"78","ITS-97317",169967,"Nephrops norvegicus",NA,NA,"LOBSTERS","LC","Stable",3949345.03163319,6147990.08147238
"79","ITS-97319",170000,"Acanthacaris caeca",NA,NA,"LOBSTERS","LC","Unknown",1832310.72995817,3484246.79304186
"80","ITS-97323",170021,"Metanephrops binghami",NA,NA,"LOBSTERS","LC","Unknown",1598941.48498708,2027126.46088194
"81","ITS-97651",169988,"Panulirus guttatus",NA,NA,"LOBSTERS","LC","Unknown",1522949.58930129,2299718.70095693
"82","SLB-184857",185077,"Bathyarctus faxoni",NA,NA,"LOBSTERS","LC","Unknown",2845927.21137273,2289677.78071182
"83","ITS-97673",170088,"Scyllarides nodifer",NA,NA,"LOBSTERS","LC","Unknown",1261656.80848771,2046409.65277538
"84","ITS-97676",170075,"Scyllarides aequinoctialis",NA,NA,"LOBSTERS","LC","Unknown",3113499.01969526,5562009.34406961
"85","ITS-97682",170071,"Parribacus antarcticus",NA,NA,"LOBSTERS","LC","Unknown",14647161.6092946,29051694.0226759
"86","ITS-97688",185026,"Polycheles typhlops",NA,NA,"LOBSTERS","LC","Stable",36957620.2846173,54081063.0818611
"87","ITS-97696",170015,"Palinurellus gundlachi",NA,NA,"LOBSTERS","LC","Unknown",1125685.56793885,1342940.95671117
"88","Hyd-210726",133144,"Millepora alcicornis",NA,NA,"CORAL3","LC","Stable",4021035.059783,3319134.37005015
"89","URM-Cn-3929",133065,"Tubipora musica",NA,NA,"CORAL3","NT","Unknown",11205784.4159545,26763383.4711821
"90","Hyd-287421",133042,"Millepora complanata",NA,NA,"CORAL3","LC","Stable",3622317.49963558,2556051.43914851
"91","Hyd-210730",133595,"Millepora platyphylla",NA,NA,"CORAL3","LC","Unknown",12543999.7260624,27304958.1437893
"92","SLB-158806",133118,"Porites sillimaniana",NA,NA,"CORAL2","VU","Unknown",10406794.9342743,12312504.0177661
"93","URM-Cn-4841",133020,"Acropora tenuis",NA,NA,"CORAL1","NT","Decreasing",12211163.3211345,26601339.8257009
"94","URM-Cn-6097",133446,"Astrangia poculata",NA,NA,"CORAL2","LC","Unknown",490984.58394229,2300357.4368204
"95","URM-Cn-5990",133390,"Seriatopora hystrix",NA,NA,"CORAL2","LC","Unknown",8770767.79843918,25682389.5995232
"96","URM-Cn-5995",133685,"Stylophora pistillata",NA,NA,"CORAL2","NT","Unknown",14045099.2251889,26889576.1641109
"97","URM-Cn-4833",133402,"Acropora squarrosa",NA,NA,"CORAL1","LC","Decreasing",2089976.12643157,3987904.8199531
"98","URM-Cn-4495",133193,"Heliopora coerulea",NA,NA,"CORAL3","VU","Decreasing",8540475.11870223,26537446.9544161
"99","SLB-184808",133182,"Isopora brueggemanni",NA,NA,"CORAL1","VU","Decreasing",10373932.0897392,15012595.7647173
"100","URM-Cn-6128",133077,"Coscinaraea mcneilli",NA,NA,"CORAL2","LC","Unknown",876135.349088706,1241437.90396901
"101","URM-Cn-6129",133323,"Coscinaraea monile",NA,NA,"CORAL2","LC","Unknown",8988245.39747367,15729291.5893046
"102","URM-Cn-6130",133408,"Coscinaraea wellsi",NA,NA,"CORAL2","LC","Unknown",6792820.29257982,20786999.2439156
"103","URM-Cn-6134",133208,"Psammocora contigua",NA,NA,"CORAL2","NT","Unknown",12534467.5922423,28173097.5602532
"104","URM-Cn-6135",133043,"Psammocora digitata",NA,NA,"CORAL2","NT","Unknown",12257138.8568776,23897975.0159015
"105","URM-Cn-6136",133589,"Psammocora explanulata",NA,NA,"CORAL2","LC","Unknown",7348259.62308057,22535749.4227493
"106","URM-Cn-6137",133406,"Psammocora haimeana",NA,NA,"CORAL2","LC","Unknown",10908338.4532397,27741453.2130609
"107","URM-Cn-6138",133094,"Psammocora nierstraszi",NA,NA,"CORAL2","LC","Stable",9106061.76382183,23829761.8236706
"108","URM-Cn-6139",133353,"Psammocora obtusangula",NA,NA,"CORAL2","NT","Unknown",11505475.8036441,15324280.5874378
"109","URM-Cn-6140",133570,"Psammocora profundacella",NA,NA,"CORAL2","LC","Unknown",12955683.7133134,27572894.8985936
"110","URM-Cn-6141",132860,"Psammocora stellata",NA,NA,"CORAL2","VU","Unknown",2370373.25598331,4582880.60111928
"111","URM-Cn-6142",133502,"Psammocora superficialis",NA,NA,"CORAL2","LC","Unknown",14778018.8448055,29240057.7359327
"112","URM-Cn-6146",133027,"Siderastrea radians",NA,NA,"CORAL2","LC","Stable",3566050.06999085,5206166.01599192
"113","URM-Cn-6147",133590,"Siderastrea savignyana",NA,NA,"CORAL2","LC","Unknown",11049845.5071093,15278394.2905268
"114","URM-Cn-6148",133389,"Siderastrea siderea",NA,NA,"CORAL2","LC","Stable",4075826.82141276,3587802.05796761
"115","URM-Cn-4849",133621,"Acropora valenciennesi",NA,NA,"CORAL1","LC","Decreasing",12407892.8315733,24698496.6409008
"116","SLB-61731",133293,"Acropora valida",NA,NA,"CORAL1","LC","Decreasing",14633015.4479511,28854872.1451093
"117","URM-Cn-4850",133025,"Acropora vaughani",NA,NA,"CORAL1","VU","Decreasing",10208293.1409568,22542926.1010936
"118","URM-Cn-4851",133532,"Acropora verweyi",NA,NA,"CORAL1","VU","Decreasing",10861080.1204841,22347501.0388978
"119","URM-Cn-5931",132947,"Echinophyllia echinoporoides",NA,NA,"CORAL2","LC","Unknown",4867717.08839821,12366192.8522239
"120","URM-Cn-5934",133609,"Echinophyllia orpheensis",NA,NA,"CORAL2","LC","Unknown",6312522.02987927,18108370.9956415
"121","URM-Cn-5939",133559,"Mycedium elephantotus",NA,NA,"CORAL2","LC","Unknown",7466837.50612262,26561881.9866913
"122","URM-Cn-5947",133192,"Oxypora glabra",NA,NA,"CORAL2","LC","Unknown",3013632.23971348,15336286.7304632
"123","URM-Cn-5948",133442,"Oxypora lacera",NA,NA,"CORAL2","LC","Unknown",9151697.21847939,25036069.6847965
"124","URM-Cn-4830",133320,"Acropora solitaryensis",NA,NA,"CORAL1","VU","Decreasing",7158293.23708481,17527888.4709084
"125","URM-Cn-5950",132956,"Pectinia alcicornis",NA,NA,"CORAL2","VU","Unknown",6433271.42133984,16673190.2351464
"126","URM-Cn-5953",132928,"Pectinia lactuca",NA,NA,"CORAL2","VU","Unknown",8194188.14681488,21724324.6555851
"127","URM-Cn-5954",133272,"Pectinia paeonia",NA,NA,"CORAL2","NT","Unknown",7573707.09239333,19981769.0088066
"128","URM-Cn-5974",132958,"Pocillopora capitata",NA,NA,"CORAL2","LC","Unknown",3655364.96256691,6824441.07830076
"129","URM-Cn-5975",133222,"Pocillopora damicornis",NA,NA,"CORAL2","LC","Unknown",11437974.6905335,30133339.8402314
"130","URM-Cn-5977",133099,"Pocillopora elegans",NA,NA,"CORAL2","VU","Unknown",9196078.62820758,14203325.6380213
"131","URM-Cn-5978",133407,"Pocillopora eydouxi",NA,NA,"CORAL2","NT","Unknown",15654252.3190132,29149781.8822881
"132","URM-Cn-5981",133309,"Pocillopora inflata",NA,NA,"CORAL2","VU","Unknown",593710.217056095,620392.346140874
"133","URM-Cn-5982",132875,"Pocillopora kelleheri",NA,NA,"CORAL2","LC","Stable",5705320.30969178,4722240.00047086
"134","URM-Cn-5983",133095,"Pocillopora meandrina",NA,NA,"CORAL2","LC","Unknown",10022743.4854192,22057058.504554
"135","URM-Cn-5984",133197,"Pocillopora verrucosa",NA,NA,"CORAL2","LC","Unknown",14426822.2113583,30944152.4570407
"136","URM-Cn-5985",132923,"Pocillopora woodjonesi",NA,NA,"CORAL2","LC","Unknown",10184758.8959521,21227719.8017941
"137","URM-Cn-5987",133028,"Seriatopora caliendrum",NA,NA,"CORAL2","NT","Unknown",12350304.5222297,22995348.3056654
"138","URM-Cn-5989",133614,"Seriatopora guttatus",NA,NA,"CORAL2","LC","Unknown",10758165.9341587,12145852.430906
"139","URM-Cn-4836",133087,"Acropora subglabra",NA,NA,"CORAL1","LC","Decreasing",9433929.46803078,18836267.387328
"140","URM-Cn-6069",133038,"Porites nigrescens",NA,NA,"CORAL2","VU","Unknown",6418270.7148056,24490364.5665755
"141","URM-Cn-6073",133395,"Porites porites",NA,NA,"CORAL2","LC","Stable",3127166.03098778,4838332.83447952
"142","URM-Cn-4835",133291,"Acropora striata",NA,NA,"CORAL1","VU","Decreasing",7340105.81620528,9964375.7439865
"143","URM-Cn-6020",133607,"Goniopora minor",NA,NA,"CORAL2","NT","Unknown",4759472.70770376,26110488.233829
"144","URM-Cn-6030",133668,"Goniopora stokesi",NA,NA,"CORAL2","NT","Unknown",5223584.37807209,23866531.8005961
"145","URM-Cn-6038",133680,"Porites astreoides",NA,NA,"CORAL2","LC","Increasing",5042790.46352951,5719533.97699258
"146","URM-Cn-6055",133504,"Porites furcata",NA,NA,"CORAL2","LC","Stable",2088868.74253638,3489829.86403107
"147","URM-Cn-6062",133023,"Porites lichen",NA,NA,"CORAL2","LC","Unknown",5438083.97429726,26676360.0580487
"148","URM-Cn-6063",133216,"Porites lobata",NA,NA,"CORAL2","NT","Unknown",7888315.9540224,29659011.7147812
"149","URM-Cn-6064",133082,"Porites lutea",NA,NA,"CORAL2","LC","Unknown",6520698.30321185,29700828.3549168
"150","URM-Cn-5823",133458,"Hydnophora microconos",NA,NA,"CORAL2","NT","Unknown",10174024.1477492,27483205.6866214
"151","URM-Cn-5824",132895,"Hydnophora pilosa",NA,NA,"CORAL2","LC","Unknown",4108156.65462172,15742068.16768
"152","URM-Cn-5825",132881,"Hydnophora rigida",NA,NA,"CORAL2","LC","Unknown",7263151.34415824,22031317.9196573
"153","URM-Cn-5826",133337,"Merulina ampliata",NA,NA,"CORAL2","LC","Unknown",13029546.0994865,25939810.1151142
"154","URM-Cn-5827",133024,"Merulina scabricula",NA,NA,"CORAL2","LC","Unknown",5095809.64935907,21899232.751361
"155","URM-Cn-5830",133473,"Scapophyllia cylindrica",NA,NA,"CORAL2","LC","Unknown",7317946.97328724,19196517.17007
"156","URM-Cn-5845",133411,"Acanthastrea bowerbanki",NA,NA,"CORAL2","VU","Unknown",9417599.38375158,17153925.5384234
"157","URM-Cn-5846",133246,"Acanthastrea echinata",NA,NA,"CORAL2","LC","Unknown",14854523.7026646,27657503.0787715
"158","URM-Cn-5847",133624,"Acanthastrea faviaformis",NA,NA,"CORAL2","VU","Unknown",5828977.7067741,9541404.94181734
"159","URM-Cn-5848",133642,"Acanthastrea hemprichii",NA,NA,"CORAL2","VU","Unknown",11131015.0507185,16447891.7519471
"160","URM-Cn-5849",133106,"Acanthastrea hillae",NA,NA,"CORAL2","NT","Unknown",9480207.30152486,22104091.2482947
"161","URM-Cn-5850",133376,"Acanthastrea ishigakiensis",NA,NA,"CORAL2","VU","Unknown",12714425.8808704,18742874.9184448
"162","URM-Cn-5851",133366,"Acanthastrea lordhowensis",NA,NA,"CORAL2","NT","Unknown",11766247.684898,16785640.3771204
"163","URM-Cn-5854",133326,"Acanthastrea regularis",NA,NA,"CORAL2","VU","Unknown",7794117.27517456,10662949.6349357
"164","SLB-62731",133386,"Acanthastrea rotundoflora",NA,NA,"CORAL2","NT","Unknown",11539755.6989953,15404518.8637101
"165","URM-Cn-5858",133573,"Australomussa rowleyensis",NA,NA,"CORAL2","NT","Unknown",8629745.18296095,12456336.2818934
"166","URM-Cn-5859",133528,"Blastomussa merleti",NA,NA,"CORAL2","LC","Unknown",12718801.659291,19515279.0636185
"167","URM-Cn-5860",133253,"Blastomussa wellsi",NA,NA,"CORAL2","NT","Unknown",12544587.1876915,18263171.564387
"168","URM-Cn-5861",133413,"Cynarina lacrymalis",NA,NA,"CORAL2","NT","Unknown",13427074.9941206,23236620.0081175
"169","URM-Cn-5864",133591,"Isophyllia sinuosa",NA,NA,"CORAL2","LC","Stable",1332852.0845655,3342354.0998908
"170","URM-Cn-5865",133551,"Lobophyllia corymbosa",NA,NA,"CORAL2","LC","Unknown",12939380.0422632,26113365.2424289
"171","URM-Cn-5867",133565,"Lobophyllia dentatus",NA,NA,"CORAL2","VU","Unknown",4818704.0740074,9443641.1935398
"172","URM-Cn-5868",133619,"Lobophyllia diminuta",NA,NA,"CORAL2","VU","Unknown",9457666.65660734,13125457.7264142
"173","URM-Cn-5869",133032,"Lobophyllia flabelliformis",NA,NA,"CORAL2","VU","Unknown",8911330.09799448,10175801.6951171
"174","URM-Cn-5870",133304,"Lobophyllia hataii",NA,NA,"CORAL2","LC","Unknown",13021448.2116859,21851649.6892434
"175","URM-Cn-5871",133419,"Lobophyllia hemprichii",NA,NA,"CORAL2","LC","Unknown",12080970.9791695,26840484.3178787
"176","URM-Cn-5872",133152,"Lobophyllia pachysepta",NA,NA,"CORAL2","NT","Unknown",9965626.16712258,17921326.6810789
"177","URM-Cn-5873",133076,"Lobophyllia robusta",NA,NA,"CORAL2","LC","Unknown",10459337.104032,16670273.0451096
"178","URM-Cn-5877",133457,"Mussa angulosa",NA,NA,"CORAL2","LC","Stable",1764054.62130607,3313540.18772692
"179","URM-Cn-4823",132998,"Acropora samoensis",NA,NA,"CORAL1","LC","Decreasing",12305419.0276992,26190283.5915831
"180","URM-Cn-5881",133047,"Mycetophyllia aliciae",NA,NA,"CORAL2","LC","Stable",1435413.75378659,3275070.31159101
"181","URM-Cn-5883",133356,"Mycetophyllia ferox",NA,NA,"CORAL2","VU","Unknown",1289761.63009311,3275070.31159101
"182","URM-Cn-5884",133062,"Mycetophyllia lamarckiana",NA,NA,"CORAL2","LC","Unknown",2179108.48101284,3298520.80201235
"183","URM-Cn-5886",133566,"Scolymia australis",NA,NA,"CORAL2","LC","Unknown",5780300.57329402,11362532.5387797
"184","URM-Cn-5887",133053,"Scolymia cubensis",NA,NA,"CORAL2","LC","Unknown",2451273.87854336,4287823.87389489
"185","URM-Cn-5888",132874,"Scolymia lacera",NA,NA,"CORAL2","LC","Unknown",3767904.09970524,3298520.80201235
"186","URM-Cn-5889",133157,"Scolymia vitiensis",NA,NA,"CORAL2","NT","Unknown",12339390.5401951,20842368.7740978
"187","URM-Cn-4824",133271,"Acropora sarmentosa",NA,NA,"CORAL1","LC","Decreasing",8638894.11645783,19918461.8494943
"188","URM-Cn-5891",133474,"Symphyllia agaricia",NA,NA,"CORAL2","LC","Unknown",13300906.8968939,23483555.9553969
"189","URM-Cn-5893",133126,"Symphyllia hassi",NA,NA,"CORAL2","VU","Unknown",5022447.58276067,11811907.8565422
"190","URM-Cn-5894",132900,"Symphyllia radians",NA,NA,"CORAL2","LC","Unknown",13214202.2840842,22129759.9788702
"191","URM-Cn-5895",133606,"Symphyllia recta",NA,NA,"CORAL2","LC","Unknown",12489044.3595908,23821066.4981172
"192","URM-Cn-5896",133127,"Symphyllia valenciennesii",NA,NA,"CORAL2","LC","Unknown",13756292.4330492,25123314.1911291
"193","URM-Cn-5897",133340,"Symphyllia wilsoni",NA,NA,"CORAL2","LC","Unknown",631468.506523265,1292066.71773432
"194","URM-Cn-5901",133109,"Galaxea acrhelia",NA,NA,"CORAL2","VU","Unknown",7208015.9831219,8077471.86941933
"195","URM-Cn-5903",133354,"Galaxea astreata",NA,NA,"CORAL2","VU","Unknown",8686896.88195393,24943243.9178515
"196","URM-Cn-4809",133647,"Acropora polystoma",NA,NA,"CORAL1","VU","Decreasing",10111223.4252133,20654036.2430586
"197","URM-Cn-5746",133597,"Cantharellus doederleini",NA,NA,"CORAL2","LC","Unknown",1942158.43100931,1324866.93612223
"198","URM-Cn-5749",133083,"Ctenactis albitentaculata",NA,NA,"CORAL2","NT","Unknown",6795109.38983361,13341306.5310649
"199","URM-Cn-5750",133110,"Ctenactis crassa",NA,NA,"CORAL2","LC","Unknown",7278445.49950172,19599768.0999368
"200","URM-Cn-5751",133148,"Ctenactis echinata",NA,NA,"CORAL2","LC","Unknown",10081490.2434578,22263370.7651935
"201","URM-Cn-5753",133418,"Fungia concinna",NA,NA,"CORAL2","LC","Unknown",8409281.92377014,26905009.7143631
"202","URM-Cn-5760",133503,"Fungia fungites",NA,NA,"CORAL2","NT","Unknown",9237477.61966396,26320244.8728223
"203","URM-Cn-5761",133183,"Fungia granulosa",NA,NA,"CORAL2","LC","Unknown",7684254.404897,24913067.9374689
"204","URM-Cn-5764",133423,"Fungia horrida",NA,NA,"CORAL2","LC","Unknown",5529732.91245198,25079256.0950822
"205","URM-Cn-5765",133437,"Fungia moluccensis",NA,NA,"CORAL2","LC","Unknown",7667327.01142151,19079503.0160565
"206","URM-Cn-5766",133673,"Fungia paumotensis",NA,NA,"CORAL2","LC","Unknown",10090622.940653,23919995.5413937
"207","URM-Cn-5768",132986,"Fungia repanda",NA,NA,"CORAL2","LC","Unknown",8290067.48500738,25732259.4281677
"208","URM-Cn-5769",133179,"Fungia scabra",NA,NA,"CORAL2","LC","Unknown",6826859.85523664,16014293.4491445
"209","URM-Cn-5770",133308,"Fungia scruposa",NA,NA,"CORAL2","LC","Unknown",7848291.90179443,22683526.6021384
"210","URM-Cn-5771",133201,"Fungia scutaria",NA,NA,"CORAL2","LC","Unknown",8713658.92584848,26311033.4945616
"211","URM-Cn-5772",132996,"Fungia seychellensis",NA,NA,"CORAL2","VU","Unknown",1441280.49977421,2656287.61023237
"212","URM-Cn-5781",133166,"Halomitra pileus",NA,NA,"CORAL2","LC","Unknown",9941454.15633951,19518911.9373893
"213","URM-Cn-5782",133269,"Heliofungia actiniformis",NA,NA,"CORAL2","VU","Unknown",7570706.04968648,12745596.9799156
"214","SLB-62658",133538,"Herpolitha limax",NA,NA,"CORAL2","LC","Unknown",7200636.59802069,26676375.3756624
"215","URM-Cn-5787",133158,"Podabacia crustacea",NA,NA,"CORAL2","LC","Unknown",8449977.75498482,22220445.2688803
"216","URM-Cn-5791",133372,"Polyphyllia novaehiberniae",NA,NA,"CORAL2","NT","Unknown",2913525.40558253,7404924.61996531
"217","URM-Cn-5792",133063,"Polyphyllia talpina",NA,NA,"CORAL2","LC","Unknown",12096328.1373237,19788896.8020076
"218","URM-Cn-5795",133693,"Sandalolitha robusta",NA,NA,"CORAL2","LC","Unknown",7695215.88338548,15352549.6627841
"219","URM-Cn-4816",133248,"Acropora robusta",NA,NA,"CORAL1","LC","Decreasing",12080371.7088148,26402333.8239108
"220","SLB-158750",133124,"Dendrogyra cylindrus",NA,NA,"CORAL2","VU","Stable",2716814.06412117,3231583.94357149
