iucn_sid,am_sid,sciname,match
132806,Fis-27186,Cephalopholis fulva,id
132807,Fis-163784,Hyporthodus septemfasciatus,id
132808,Fis-26118,Cephalopholis cyanostigma,id
132810,Fis-31845,Variola albimarginata,id
132811,Fis-30328,Mycteroperca xenarcha,id
132812,Fis-26131,Epinephelus amblycephalus,id
132813,Fis-26132,Epinephelus bontoides,id
132815,Fis-25571,Epinephelus cyanopodus,id
132816,Fis-32322,Saloptia powelli,id
132817,Fis-25570,Epinephelus fasciatus,id
132818,Fis-25365,Plectropomus maculatus,id
132819,Fis-22704,Epinephelus adscensionis,id
132820,Fis-25389,Cephalopholis taeniops,id
132822,Fis-26970,Paranthias colonus,id
132823,Fis-25679,Epinephelus chlorostigma,id
132825,Fis-26127,Cephalopholis spiloparaea,id
132826,Fis-26494,Epinephelus bleekeri,id
132827,Fis-163778,Hyporthodus mystacinus,id
132828,Fis-164463,Hyporthodus haifensis,id
132829,Fis-26504,Epinephelus howlandi,id
132830,Fis-27382,Mycteroperca acutirostris,id
132859,URM-Cn-5604,Oulastrea crispata,id
132860,SLB-62998,Psammocora stellata,id
132863,SLB-93516,Acropora prostrata,id
132866,URM-Cn-4877,Montipora angulata,id
132869,URM-Cn-4750,Acropora florida,id
132871,URM-Cn-5952,Pectinia elongata,id
132874,URM-Cn-5888,Scolymia lacera,id
132875,URM-Cn-5982,Pocillopora kelleheri,id
132876,URM-Cn-4973,Leptoseris tubulifera,id
132877,URM-Cn-5759,Fungia fralinae,id
132878,URM-Cn-5549,Favia maxima,id
132880,URM-Cn-4995,Pavona venosa,id
132883,URM-Cn-5572,Goniastrea australensis,id
132884,URM-Cn-5508,Colpophyllia natans,id
132885,URM-Cn-4965,Leptoseris hawaiiensis,id
132886,SLB-93397,Acropora seriata,id
132892,URM-Cn-4910,Montipora hodgsoni,id
132894,URM-Cn-5557,Favia veroni,id
132900,URM-Cn-5894,Symphyllia radians,id
132902,SLB-62642,Fungia puishani,id
132903,URM-Cn-4970,Leptoseris solida,id
132906,SLB-93376,Acropora irregularis,id
132908,URM-Cn-4818,Acropora rosaria,id
132909,URM-Cn-4848,Acropora turaki,id
132911,URM-Cn-4992,Pavona maldivensis,id
132915,SLB-158712,Siderastrea stellata,id
132916,URM-Cn-5470,Turbinaria irregularis,id
132917,URM-Cn-4958,Gardineroseris planulata,id
132922,URM-Cn-5595,Montastrea curta,id
132923,URM-Cn-5985,Pocillopora woodjonesi,id
132927,SLB-61850,Leptoseris striata,id
132928,URM-Cn-5953,Pectinia lactuca,id
132931,URM-Cn-4854,Acropora willisae,id
132933,URM-Cn-4723,Acropora carduus,id
132935,URM-Cn-4807,Acropora plumosa,id
132936,SLB-190543,Favia pallida,id
132940,URM-Cn-4710,Acropora acuminata,id
132941,URM-Cn-5862,Indophyllia macassarensis,id
132942,SLB-93057,Montipora patula,id
132945,URM-Cn-6043,Porites colonensis,id
132946,SLB-93732,Acropora lianae,id
132950,SLB-158633,Acropora macrostoma,id
132957,URM-Cn-5465,Turbinaria bifrons,id
132962,URM-Cn-5892,Symphyllia erythraea,id
132963,URM-Cn-5591,Manicina areolata,id
132967,URM-Cn-5485,Euphyllia yaeyamaensis,id
132968,URM-Cn-5779,Halomitra clavator,id
132969,URM-Cn-4774,Acropora listeri,id
132970,URM-Cn-4954,Agaricia lamarcki,id
132972,URM-Cn-4800,Acropora paniculata,id
132974,SLB-62368,Plerogyra discus,id
132977,URM-Cn-4937,Montipora stilosa,id
132980,URM-Cn-5590,Leptoria phrygia,id
132983,URM-Cn-5584,Leptastrea bottae,id
132984,URM-Cn-4736,Acropora derawanensis,id
132987,URM-Cn-5524,Echinopora gemmacea,id
132988,URM-Cn-4777,Acropora longicyathus,id
132990,URM-Cn-4790,Acropora multiacuta,id
132991,URM-Cn-6123,Coscinaraea crassa,id
132992,URM-Cn-4761,Acropora humilis,id
132996,URM-Cn-5772,Fungia seychellensis,id
133000,URM-Cn-4796,Acropora ocellata,id
133002,SLB-117497,Seriatopora stellata,id
133003,URM-Cn-5583,Leptastrea bewickensis,id
133004,SLB-62804,Simplastrea vesicularis,id
133006,URM-Cn-4798,Acropora palmata,id
133007,URM-Cn-4917,Montipora malampaya,id
133008,URM-Cn-5775,Fungia spinifer,id
133011,SLB-117488,Pocillopora ankeli,id
133013,URM-Cn-4755,Acropora grandis,id
133018,URM-Cn-4786,Acropora minuta,id
133020,URM-Cn-4841,Acropora tenuis,id
133023,URM-Cn-6062,Porites lichen,id
133024,URM-Cn-5827,Merulina scabricula,id
133025,URM-Cn-4850,Acropora vaughani,id
133026,SLB-117486,Mycedium mancaoi,id
133029,URM-Cn-5552,Favia rotumana,id
133031,URM-Cn-4897,Montipora effusa,id
133032,URM-Cn-5869,Lobophyllia flabelliformis,id
133033,URM-Cn-4813,Acropora pulchra,id
133034,SLB-189121,Fungia fragilis,id
133037,URM-Cn-5885,Mycetophyllia reesi,id
133038,URM-Cn-6069,Porites nigrescens,id
133043,URM-Cn-6135,Psammocora digitata,id
133045,SLB-158820,Pocillopora ligulata,id
133046,URM-Cn-4861,Anacropora spinosa,id
133053,URM-Cn-5887,Scolymia cubensis,id
133055,URM-Cn-5564,Favites halicora,id
133057,URM-Cn-5482,Euphyllia paradivisa,id
133058,URM-Cn-5930,Echinophyllia echinata,id
133059,URM-Cn-5617,Platygyra verweyi,id
133064,URM-Cn-4899,Montipora florida,id
133066,URM-Cn-4913,Montipora informis,id
133070,URM-Cn-5601,Montastrea colemani,id
133071,URM-Cn-4901,Montipora foliosa,id
133076,URM-Cn-5873,Lobophyllia robusta,id
133081,URM-Cn-4770,Acropora kirstyae,id
133082,URM-Cn-6064,Porites lutea,id
133084,SLB-62376,Barabattoia amicorum,id
133087,URM-Cn-4836,Acropora subglabra,id
133088,URM-Cn-5528,Echinopora lamellosa,id
133089,URM-Cn-5935,Echinophyllia patula,id
133090,URM-Cn-5587,Leptastrea purpurea,id
133092,URM-Cn-4866,Astreopora incrustans,id
133094,URM-Cn-6138,Psammocora nierstraszi,id
133096,SLB-158798,Porites columnaris,id
133097,SLB-117490,Pocillopora danae,id
133099,URM-Cn-5977,Pocillopora elegans,id
133100,URM-Cn-4956,Agaricia undata,id
133102,URM-Cn-5814,Dichocoenia stokesii,id
133106,URM-Cn-5849,Acanthastrea hillae,id
133109,URM-Cn-5901,Galaxea acrhelia,id
133110,URM-Cn-5750,Ctenactis crassa,id
133111,SLB-61810,Montipora saudii,id
133112,URM-Cn-4724,Acropora caroliniana,id
133113,URM-Cn-4880,Montipora cactus,id
133115,SLB-93474,Acropora retusa,id
133120,SLB-61654,Acropora latistella,id
133121,URM-Cn-6145,Siderastrea glynni,id
133122,SLB-93687,Acropora plantaginea,id
133124,SLB-158750,Dendrogyra cylindrus,id
133125,URM-Cn-4748,Acropora fenneri,id
133127,URM-Cn-5896,Symphyllia valenciennesii,id
133128,URM-Cn-4812,Acropora pruinosa,id
133129,URM-Cn-4872,Astreopora ocellata,id
133131,URM-Cn-4903,Montipora friabilis,id
133132,URM-Cn-4714,Acropora aspera,id
133133,URM-Cn-4708,Acropora abrolhosensis,id
133134,URM-Cn-5592,Montastraea annularis,id
133139,SLB-184813,Isopora palifera,id
133142,URM-Cn-5096,Cladocora caespitosa,id
133144,W-Hyd-210726,Millepora alcicornis,id
133145,URM-Cn-5008,Stylocoeniella cocosensis,id
133148,URM-Cn-5751,Ctenactis echinata,id
133151,URM-Cn-5542,Favia lacuna,id
133152,URM-Cn-5872,Lobophyllia pachysepta,id
133157,URM-Cn-5889,Scolymia vitiensis,id
133158,URM-Cn-5787,Podabacia crustacea,id
133160,URM-Cn-4715,Acropora austera,id
133161,URM-Cn-5610,Platygyra contorta,id
133165,URM-Cn-5921,Oculina varicosa,id
133169,URM-Cn-5993,Stylophora mamillata,id
133172,SLB-62815,Echinophyllia aspera,id
133175,URM-Cn-4896,Montipora efflorescens,id
133176,SLB-117467,Coscinaraea exesa,id
133177,URM-Cn-5472,Turbinaria patula,id
133178,URM-Cn-5593,Montastrea annuligera,id
133182,SLB-184808,Isopora brueggemanni,id
133183,URM-Cn-5761,Fungia granulosa,id
133184,SLB-62757,Mussismilia hispida,id
133186,URM-Cn-4900,Montipora floweri,id
133192,URM-Cn-5947,Oxypora glabra,id
133193,W-Oct-210725,Heliopora coerulea,id
133194,URM-Cn-4893,Montipora digitata,id
133195,SLB-93690,Acropora appressa,id
133197,URM-Cn-5984,Pocillopora verrucosa,id
133200,URM-Cn-5606,Oulophyllia crispa,id
133201,SLB-190518,Fungia scutaria,id
133203,URM-Cn-4840,Acropora tenella,id
133206,URM-Cn-4819,Acropora roseni,id
133209,URM-Cn-5567,Favites pentagona,id
133210,URM-Cn-5554,Favia speciosa,id
133212,URM-Cn-5915,Oculina diffusa,id
133213,URM-Cn-5786,Lithophyllon undulatum,id
133215,URM-Cn-5777,Fungia tenuis,id
133216,URM-Cn-6063,Porites lobata,id
133217,SLB-158789,Meandrina danae,id
133218,URM-Cn-4975,Pachyseris foliosa,id
133219,URM-Cn-5486,Nemenzophyllia turbida,id
133220,URM-Cn-4882,Montipora caliculata,id
133222,URM-Cn-5975,Pocillopora damicornis,id
133223,URM-Cn-4740,Acropora donei,id
133227,SLB-93757,Astreopora expansa,id
133231,URM-Cn-5517,Diploastrea heliopora,id
133233,URM-Cn-4769,Acropora kimbeensis,id
133236,URM-Cn-5907,Galaxea paucisepta,id
133237,SLB-62474,Montastraea cavernosa,id
133238,URM-Cn-4909,Montipora hispida,id
133239,URM-Cn-4792,Acropora nasuta,id
133240,URM-Cn-4982,Pavona clavus,id
133242,URM-Cn-4989,Pavona frondifera,id
133244,URM-Cn-5563,Favites flexuosa,id
133246,URM-Cn-5846,Acanthastrea echinata,id
133248,URM-Cn-4816,Acropora robusta,id
133250,URM-Cn-4738,Acropora digitifera,id
133251,URM-Cn-5996,Stylophora wellsi,id
133252,URM-Cn-4846,Acropora tortuosa,id
133253,URM-Cn-5860,Blastomussa wellsi,id
133255,URM-Cn-4953,Agaricia humilis,id
133256,URM-Cn-5481,Euphyllia glabrescens,id
133258,URM-Cn-5495,Plerogyra sinuosa,id
133260,URM-Cn-6149,Trachyphyllia geoffroyi,id
133261,URM-Cn-4983,Pavona danai,id
133267,URM-Cn-4868,Astreopora listeri,id
133268,URM-Cn-5875,Micromussa diminuta,id
133269,URM-Cn-5782,Heliofungia actiniformis,id
133271,URM-Cn-4824,Acropora sarmentosa,id
133272,URM-Cn-5954,Pectinia paeonia,id
133277,URM-Cn-6040,Porites australiensis,id
133281,URM-Cn-5963,Madracis formosa,id
133283,URM-Cn-4718,Acropora batunai,id
133284,URM-Cn-5620,Plesiastrea versipora,id
133289,SLB-117478,Euphyllia paraancora,id
133290,URM-Cn-5560,Favites abdita,id
133291,URM-Cn-4835,Acropora striata,id
133292,URM-Cn-4871,Astreopora myriophthalma,id
133298,URM-Cn-4942,Montipora turgescens,id
133302,URM-Cn-4865,Astreopora gracilis,id
133304,URM-Cn-5870,Lobophyllia hataii,id
133305,URM-Cn-4946,Montipora verrilli,id
133307,URM-Cn-5553,Favia rotundata,id
133308,SLB-190516,Fungia scruposa,id
133309,URM-Cn-5981,Pocillopora inflata,id
133311,URM-Cn-4757,Acropora halmaherae,id
133313,URM-Cn-4733,Acropora cytherea,id
133315,URM-Cn-4788,Acropora monticulosa,id
133319,URM-Cn-4760,Acropora horrida,id
133320,URM-Cn-4830,Acropora solitaryensis,id
133324,URM-Cn-4752,Acropora gemmifera,id
133325,URM-Cn-5510,Cyphastrea chalcidicum,id
133327,URM-Cn-4779,Acropora lovelli,id
133329,URM-Cn-6079,Porites stephensoni,id
133333,URM-Cn-5605,Oulophyllia bennettae,id
133334,URM-Cn-4719,Acropora branchi,id
133337,URM-Cn-5826,Merulina ampliata,id
133340,URM-Cn-5897,Symphyllia wilsoni,id
133343,URM-Cn-5569,Favites russelli,id
133344,URM-Cn-5790,Podabacia sinai,id
133345,URM-Cn-4941,Montipora tuberculosa,id
133348,SLB-93322,Acropora variolosa,id
133349,URM-Cn-6044,Porites compressa,id
133351,URM-Cn-4967,Leptoseris mycetoseroides,id
133352,URM-Cn-4754,Acropora gomezi,id
133359,URM-Cn-4783,Acropora microclados,id
133360,URM-Cn-4979,Pavona bipartita,id
133365,URM-Cn-5574,Goniastrea edwardsi,id
133366,URM-Cn-5851,Acanthastrea lordhowensis,id
133370,SLB-158808,Porites profundus,id
133371,URM-Cn-5757,Fungia distorta,id
133372,URM-Cn-5791,Polyphyllia novaehiberniae,id
133375,URM-Cn-4888,Montipora corbettensis,id
133376,URM-Cn-5850,Acanthastrea ishigakiensis,id
133377,URM-Cn-5518,Diploria clivosa,id
133379,SLB-93515,Acropora convexa,id
133381,URM-Cn-4726,Acropora cervicornis,id
133386,SLB-62731,Acanthastrea rotundoflora,id
133387,SLB-93466,Acropora globiceps,id
133392,URM-Cn-5543,Favia laxa,id
133393,URM-Cn-4842,Acropora teres,id
133395,URM-Cn-6073,Porites porites,id
133396,URM-Cn-4737,Acropora desalwii,id
133398,URM-Cn-4994,Pavona varians,id
133400,URM-Cn-5815,Eusmilia fastigiata,id
133401,URM-Cn-4759,Acropora hoeksemai,id
133402,URM-Cn-4833,Acropora squarrosa,id
133403,URM-Cn-5476,Turbinaria stellulata,id
133405,SLB-62382,Caulastrea tumida,id
133406,URM-Cn-6137,Psammocora haimeana,id
133407,SLB-189370,Pocillopora eydouxi,id
133408,URM-Cn-6130,Coscinaraea wellsi,id
133409,URM-Cn-4948,Montipora verruculosus,id
133410,URM-Cn-4978,Pachyseris speciosa,id
133412,URM-Cn-5816,Gyrosmilia interrupta,id
133414,URM-Cn-5578,Goniastrea pectinata,id
133415,URM-Cn-4859,Anacropora puertogalerae,id
133416,URM-Cn-4886,Montipora circumvallata,id
133417,SLB-62381,Caulastrea furcata,id
133419,URM-Cn-5871,Lobophyllia hemprichii,id
133420,URM-Cn-4906,Montipora grisea,id
133422,URM-Cn-4884,Montipora capricornis,id
133423,URM-Cn-5764,Fungia horrida,id
133428,URM-Cn-6122,Coscinaraea columna,id
133429,URM-Cn-5526,Echinopora horrida,id
133432,URM-Cn-4832,Acropora spicifera,id
133433,URM-Cn-4889,Montipora crassituberculata,id
133435,URM-Cn-5988,Seriatopora dendritica,id
133437,URM-Cn-5765,Fungia moluccensis,id
133439,SLB-61834,Agaricia tenuifolia,id
133440,URM-Cn-5614,Platygyra pini,id
133442,URM-Cn-5948,Oxypora lacera,id
133443,URM-Cn-4879,Montipora australiensis,id
133444,URM-Cn-5920,Oculina valenciennesi,id
133450,URM-Cn-4943,Montipora turtlensis,id
133451,URM-Cn-4891,Montipora danae,id
133457,URM-Cn-5877,Mussa angulosa,id
133458,URM-Cn-5823,Hydnophora microconos,id
133460,SLB-93100,Montipora cocosensis,id
133468,URM-Cn-5612,Platygyra daedalea,id
133470,SLB-158790,Micromussa amakusensis,id
133474,URM-Cn-5891,Symphyllia agaricia,id
133476,SLB-61883,Madracis asperula,id
133478,URM-Cn-5821,Hydnophora exesa,id
133479,URM-Cn-4762,Acropora hyacinthus,id
133481,URM-Cn-4727,Acropora chesterfieldensis,id
133483,URM-Cn-4787,Acropora mirabilis,id
133484,SLB-158735,Anomastraea irregularis,id
133485,SLB-93759,Astreopora randalli,id
133488,SLB-62813,Pectinia africanus,id
133489,URM-Cn-4892,Montipora delicatula,id
133492,URM-Cn-6075,Porites rus,id
133493,SLB-62496,Platygyra ryukyuensis,id
133494,SLB-93535,Acropora papillare,id
133495,SLB-117483,Galaxea horrescens,id
