am_sid,sciname,reviewed,iucn_sid,popn_trend,popn_category,spp_group,id_no,spatial_source,name_verified
NA,Prognathodes obliquus,NA,4363,Unknown,DD,BUTTERFLYFISH,4363,iucn,TRUE
Fis-33809,Chaetodon robustus,1,4364,Stable,LC,BUTTERFLYFISH,4364,iucn,TRUE
NA,Chaetodon luciae,NA,4364,Stable,LC,BUTTERFLYFISH,4364,iucn,TRUE
Fis-31463,Cheilinus undulatus,1,4592,Decreasing,EN,NA,NA,am,TRUE
Rep-2941,Chelonia mydas,1,4615,Decreasing,EN,REPTILES,4615,iucn_parent,TRUE
NA,Testudo mydas,NA,4615,Decreasing,EN,REPTILES,4615,iucn_parent,TRUE
NA,Chromis sanctaehelenae,NA,4805,NA,LC,DAMSELFISH,4805,iucn,TRUE
NA,Conus africanus,NA,5269,Unknown,LC,CONESNAILS,5269,iucn,TRUE
NA,Conus cepasi,NA,5270,NA,VU,CONESNAILS,5270,iucn,TRUE
NA,Conus nobrei,NA,5272,Unknown,NT,CONESNAILS,5272,iucn,TRUE
NA,Conus zebroides,NA,5273,Unknown,NT,CONESNAILS,5273,iucn,TRUE
Rep-3445,Crocodylus acutus,null,5659,Increasing,VU,REPTILES,5659,iucn,TRUE
NA,Crocodilus acutus,NA,5659,Increasing,VU,REPTILES,5659,iucn,TRUE
Rep-3460,Crocodylus porosus,null,5668,NA,LC,REPTILES,5668,iucn,TRUE
Fis-31807,Croilia mossambica,null,5675,Unknown,LC,NA,NA,am,TRUE
ITS-Mam-180657,Cystophora cristata,1,6204,Decreasing,VU,MARINE_MAMMALS,6204,iucn,TRUE
Fis-23101,Dalatias licha,1,6229,Unknown,NT,NA,NA,am,TRUE
ITS-Mam-180483,Delphinapterus leucas,1,6335,Unknown,NT,MARINEFISH_Part1,6335,iucn_parent,TRUE
ITS-Mam-180438,Delphinus delphis,1,6336,Unknown,LC,MARINE_MAMMALS,6336,iucn_parent,TRUE
ITS-Mam-555654,Delphinus capensis,1,6337,Unknown,DD,MARINEFISH_Part1,6337,iucn,TRUE
NA,Delphinus bairdii,NA,6337,Unknown,DD,MARINEFISH_Part1,6337,iucn,TRUE
NA,Delphinus tropicalis,NA,6337,Unknown,DD,MARINEFISH_Part1,6337,iucn,TRUE
Rep-4381,Dermochelys coriacea,1,6494,Decreasing,VU,REPTILES,6494,iucn_parent,TRUE
NA,Testudo coriacea,NA,6494,Decreasing,VU,REPTILES,6494,iucn_parent,TRUE
ITS-Mam-180679,Dugong dugon,1,6909,Unknown,VU,MARINEFISH_Part1,6909,iucn,TRUE
W-Ech-124287,Echinus esculentus,null,7011,NA,NT,NA,NA,am,TRUE
Fis-33751,Eleotris melanosoma,null,7135,Stable,LC,NA,NA,am,TRUE
ITS-Mam-180547,Enhydra lutris,1,7750,Decreasing,EN,TERRESTRIAL_MAMMALS,7750,iucn,TRUE
NA,Entomacrodus cadenati,NA,7778,Stable,LC,COMBTOOTHBLENNIES,7778,iucn,TRUE
Fis-29953,Epinephelus drummondhayi,1,7854,Unknown,CR,GROUPERS,7854,iucn,TRUE
NA,Epinephelus exsul,NA,7855,Unknown,DD,GROUPERS,7855,iucn,TRUE
NA,Hyporthodus exsul,NA,7855,Unknown,DD,GROUPERS,7855,iucn,TRUE
NA,Serrihastaperca exsul,NA,7855,Unknown,DD,GROUPERS,7855,iucn,TRUE
Fis-26139,Epinephelus lanceolatus,1,7858,Decreasing,VU,GROUPERS,7858,iucn,TRUE
Fis-26140,Epinephelus marginatus,1,7859,Decreasing,EN,GROUPERS,7859,iucn,TRUE
NA,Epinephelus brachysoma,NA,7859,Decreasing,EN,GROUPERS,7859,iucn,TRUE
NA,Serranus aspersus,NA,7859,Decreasing,EN,GROUPERS,7859,iucn,TRUE
NA,Serranus fimbriatus,NA,7859,Decreasing,EN,GROUPERS,7859,iucn,TRUE
NA,Serranus marginatus,NA,7859,Decreasing,EN,GROUPERS,7859,iucn,TRUE
Fis-163779,Epinephelus nigritus,NA,7860,Unknown,CR,GROUPERS,7860,iucn,TRUE
Fis-163779,Serranus nigritus,NA,7860,Unknown,CR,GROUPERS,7860,iucn,TRUE
Fis-163781,Epinephelus niveatus,NA,7861,Decreasing,VU,GROUPERS,7861,iucn,TRUE
Fis-163781,Serranus niveatus,NA,7861,Decreasing,VU,GROUPERS,7861,iucn,TRUE
Fis-22722,Epinephelus striatus,1,7862,Decreasing,EN,GROUPERS,7862,iucn,TRUE
Rep-5181,Eretmochelys imbricata,1,8005,Decreasing,CR,REPTILES,8005,iucn,TRUE
NA,Testudo imbricata,NA,8005,Decreasing,CR,REPTILES,8005,iucn,TRUE
ITS-Mam-180655,Erignathus barbatus,null,8010,Stable,LC,MARINE_MAMMALS,8010,iucn,TRUE
ITS-Mam-180521,Eschrichtius robustus,1,8097,Stable,LC,MARINE_MAMMALS,8097,iucn_parent,TRUE
ITS-Mam-552771,Eubalaena australis,1,8153,Increasing,LC,MARINE_MAMMALS,8153,iucn_parent,TRUE
ITS-Mam-180625,Eumetopias jubatus,1,8239,Increasing,NT,MARINE_MAMMALS,8239,iucn_parent,TRUE
Fis-25213,Eurypegasus draconis,null,8407,Unknown,DD,NA,NA,am,TRUE
Fis-25214,Eurypegasus papilio,null,8408,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180461,Feresa attenuata,1,8551,Unknown,DD,MARINE_MAMMALS,8551,iucn,TRUE
Fis-29394,Gadus morhua,1,8784,NA,VU,NA,NA,am,TRUE
Fis-30039,Gasterosteus aculeatus,1,8951,Stable,LC,NA,NA,am,TRUE
ITS-Mam-180466,Globicephala macrorhynchus,1,9249,Unknown,DD,MARINE_MAMMALS,9249,iucn,TRUE
ITS-Mam-552461,Globicephala melas,1,9250,Unknown,DD,MARINE_MAMMALS,9250,iucn_parent,TRUE
NA,Globicephala leucosagmaphora,NA,9250,Unknown,DD,MARINE_MAMMALS,9250,iucn_parent,TRUE
NA,Globicephala melaena,NA,9250,Unknown,DD,MARINE_MAMMALS,9250,iucn_parent,TRUE
Fis-152317,Psammogobius biocellatus,null,9266,Stable,LC,NA,NA,am,TRUE
Fis-23138,Glyphis gangeticus,1,9281,Decreasing,CR,NA,NA,am,TRUE
ITS-Mam-180457,Grampus griseus,1,9461,Unknown,LC,MARINE_MAMMALS,9461,iucn_parent,TRUE
ITS-Mam-180653,Halichoerus grypus,1,9660,Increasing,LC,MARINE_MAMMALS,9660,iucn,TRUE
Fis-23157,Hexanchus griseus,null,10030,Unknown,NT,NA,NA,am,TRUE
Fis-130617,Hippocampus bargibanti,null,10060,Unknown,DD,NA,NA,am,TRUE
Fis-130618,Hippocampus borboniensis,null,10061,Unknown,DD,NA,NA,am,TRUE
Fis-59130,Hippocampus breviceps,null,10063,Unknown,DD,NA,NA,am,TRUE
Fis-32615,Hippocampus camelopardalis,null,10064,Unknown,DD,NA,NA,am,TRUE
Fis-53157,Hippocampus coronatus,null,10065,Unknown,DD,NA,NA,am,TRUE
Fis-30112,Hippocampus erectus,1,10066,Decreasing,VU,NA,NA,am,TRUE
Fis-59151,Hippocampus fuscus,null,10068,Unknown,DD,NA,NA,am,TRUE
Fis-130691,Hippocampus guttulatus,1,10069,Unknown,DD,NA,NA,am,TRUE
Fis-23547,Hippocampus hippocampus,1,10069,Unknown,DD,NA,NA,am,TRUE
Fis-31607,Hippocampus histrix,null,10070,Decreasing,VU,NA,NA,am,TRUE
Fis-30113,Hippocampus ingens,1,10072,Decreasing,VU,NA,NA,am,TRUE
Fis-130731,Hippocampus jayakari,null,10074,Unknown,DD,NA,NA,am,TRUE
Fis-31608,Hippocampus kuda,1,10075,Decreasing,VU,NA,NA,am,TRUE
Fis-131072,Hippocampus minotaur,null,10077,Unknown,DD,NA,NA,am,TRUE
Fis-30115,Hippocampus reidi,1,10082,Unknown,DD,NA,NA,am,TRUE
Fis-53152,Hippocampus sindonis,null,10083,Unknown,LC,NA,NA,am,TRUE
Fis-59177,Hippocampus spinosissimus,1,10084,Decreasing,VU,NA,NA,am,TRUE
Fis-52583,Hippocampus trimaculatus,null,10087,Decreasing,VU,NA,NA,am,TRUE
Fis-52589,Hippocampus whitei,1,10088,Unknown,DD,NA,NA,am,TRUE
Fis-30116,Hippocampus zosterae,null,10089,Unknown,DD,NA,NA,am,TRUE
NA,Hippopotamus amphibius,NA,10103,Decreasing,VU,TERRESTRIAL_MAMMALS,10103,iucn,TRUE
W-Msc-216411,Hippopus hippopus,null,10105,NA,NT,NA,NA,am,TRUE
W-Msc-382152,Hippopus porcellanus,null,10106,NA,NT,NA,NA,am,TRUE
Fis-24054,Huso huso,null,10269,Decreasing,CR,NA,NA,am,TRUE
ITS-Mam-180681,Hydrodamalis gigas,null,10303,NA,EX,NA,NA,am,TRUE
NA,Hydromys chrysogaster,NA,10310,Unknown,LC,TERRESTRIAL_MAMMALS,10310,iucn,TRUE
ITS-Mam-180667,Hydrurga leptonyx,1,10340,Unknown,LC,MARINE_MAMMALS,10340,iucn,TRUE
ITS-Mam-180505,Hyperoodon planifrons,1,10708,Unknown,LC,MARINE_MAMMALS,10708,iucn,TRUE
Fis-35869,Knipowitschia caucasica,null,11030,Unknown,LC,NA,NA,am,TRUE
ITS-Mam-180491,Kogia breviceps,1,11047,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180492,Kogia sima,1,11048,Unknown,DD,MARINE_MAMMALS,11048,iucn,TRUE
NA,Kogia simus,NA,11048,Unknown,DD,MARINE_MAMMALS,11048,iucn,TRUE
Fis-23577,Lachnolaimus maximus,null,11130,Decreasing,VU,WRASSE,11130,iucn,TRUE
NA,Labrus maximus,NA,11130,Decreasing,VU,WRASSE,11130,iucn,TRUE
ITS-Mam-180440,Lagenodelphis hosei,1,11140,Unknown,LC,MARINE_MAMMALS,11140,iucn,TRUE
ITS-Mam-180443,Lagenorhynchus acutus,1,11141,Unknown,LC,MARINE_MAMMALS,11141,iucn,TRUE
ITS-Mam-180442,Lagenorhynchus albirostris,1,11142,Unknown,LC,MARINE_MAMMALS,11142,iucn,TRUE
ITS-Mam-180446,Lagenorhynchus australis,1,11143,Unknown,DD,MARINE_MAMMALS,11143,iucn,TRUE
ITS-Mam-180447,Lagenorhynchus cruciger,1,11144,Unknown,LC,MARINE_MAMMALS,11144,iucn,TRUE
ITS-Mam-180444,Lagenorhynchus obliquidens,1,11145,Unknown,LC,MARINE_MAMMALS,11145,iucn,TRUE
NA,Lagenorhynchus ognevi,NA,11145,Unknown,LC,MARINE_MAMMALS,11145,iucn,TRUE
ITS-Mam-180445,Lagenorhynchus obscurus,1,11146,Unknown,DD,MARINE_MAMMALS,11146,iucn,TRUE
Fis-34000,Lagocephalus gloveri,null,11150,Decreasing,DD,PUFFERFISH,11150,iucn,TRUE
Fis-22768,Lamna nasus,1,11200,Decreasing,VU,NA,NA,am,TRUE
NA,Laticauda crockeri,NA,11369,Unknown,VU,REPTILES,11369,iucn,TRUE
Fis-30189,Latimeria chalumnae,null,11375,Unknown,CR,NA,NA,am,TRUE
Rep-6935,Lepidochelys kempii,1,11533,NA,CR,NA,NA,am,TRUE
Rep-6936,Lepidochelys olivacea,1,11534,Decreasing,VU,REPTILES,11534,iucn,TRUE
NA,Chelonia olivacea,NA,11534,Decreasing,VU,REPTILES,11534,iucn,TRUE
ITS-Mam-180669,Leptonychotes weddellii,1,11696,Unknown,LC,MARINE_MAMMALS,11696,iucn,TRUE
W-Mer-150514,Limulus polyphemus,null,11987,NA,NT,NA,NA,am,TRUE
ITS-Mam-180454,Lissodelphis borealis,1,12125,Unknown,LC,MARINE_MAMMALS,12125,iucn,TRUE
ITS-Mam-180455,Lissodelphis peronii,1,12126,Unknown,DD,NA,NA,am,TRUE
Fis-23176,Lithognathus lithognathus,null,12137,Decreasing,EN,SEABREAMS_PORGIES,12137,iucn,TRUE
NA,Lithognathus capensis,NA,12137,Decreasing,EN,SEABREAMS_PORGIES,12137,iucn,TRUE
NA,Pagellus lithognathus,NA,12137,Decreasing,EN,SEABREAMS_PORGIES,12137,iucn,TRUE
NA,Pagrus lithognathus,NA,12137,Decreasing,EN,SEABREAMS_PORGIES,12137,iucn,TRUE
ITS-Mam-622023,Lobodon carcinophaga,1,12246,Unknown,LC,MARINE_MAMMALS,12246,iucn,TRUE
NA,Lobodon carcinophagus,NA,12246,Unknown,LC,MARINE_MAMMALS,12246,iucn,TRUE
NA,Lontra canadensis,NA,12302,Stable,LC,TERRESTRIAL_MAMMALS,12302,iucn,TRUE
NA,Lutra canadensis,NA,12302,Stable,LC,TERRESTRIAL_MAMMALS,12302,iucn,TRUE
NA,Lontra felina,NA,12303,Decreasing,EN,TERRESTRIAL_MAMMALS,12303,iucn,TRUE
NA,Lutra felina,NA,12303,Decreasing,EN,TERRESTRIAL_MAMMALS,12303,iucn,TRUE
NA,Lontra provocax,NA,12305,Decreasing,EN,TERRESTRIAL_MAMMALS,12305,iucn,TRUE
NA,Lutra provocax,NA,12305,Decreasing,EN,TERRESTRIAL_MAMMALS,12305,iucn,TRUE
Fis-23625,Lutjanus cyanopterus,null,12417,NA,VU,NA,NA,am,TRUE
ITS-Mam-621916,Lutra lutra,null,12419,Decreasing,NT,TERRESTRIAL_MAMMALS,12419,iucn,TRUE
NA,Lutra nippon,NA,12419,Decreasing,NT,TERRESTRIAL_MAMMALS,12419,iucn,TRUE
NA,Lutra sumatrana,NA,12421,Decreasing,EN,TERRESTRIAL_MAMMALS,12421,iucn,TRUE
NA,Lutrogale perspicillata,NA,12427,Decreasing,VU,TERRESTRIAL_MAMMALS,12427,iucn,TRUE
ITS-Mam-180530,Megaptera novaeangliae,1,13006,Increasing,LC,MARINE_MAMMALS,13006,iucn_parent,TRUE
Fis-23633,Melanogrammus aeglefinus,1,13045,NA,VU,NA,NA,am,TRUE
Fis-49084,Mesogobius batrachocephalus,null,13232,Unknown,LC,NA,NA,am,TRUE
ITS-Mam-180515,Mesoplodon bidens,1,13241,Unknown,DD,MARINE_MAMMALS,13241,iucn,TRUE
ITS-180513,Mesoplodon bowdoini,1,13242,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180512,Mesoplodon carlhubbsi,1,13243,Unknown,DD,MARINEFISH_Part1,13243,iucn,TRUE
ITS-Mam-180517,Mesoplodon densirostris,1,13244,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180509,Mesoplodon europaeus,1,13245,Unknown,DD,MARINE_MAMMALS,13245,iucn,TRUE
NA,Mesoplodon gervaisi,NA,13245,Unknown,DD,MARINE_MAMMALS,13245,iucn,TRUE
ITS-Mam-180510,Mesoplodon ginkgodens,1,13246,Unknown,DD,MARINE_MAMMALS,13246,iucn,TRUE
NA,Mesoplodon hotaula,NA,13246,Unknown,DD,MARINE_MAMMALS,13246,iucn,TRUE
ITS-Mam-180511,Mesoplodon grayi,1,13247,Unknown,DD,MARINEFISH_Part1,13247,iucn,TRUE
ITS-Mam-180507,Mesoplodon hectori,1,13248,Unknown,DD,MARINEFISH_Part2,13248,iucn,TRUE
ITS-Mam-180516,Mesoplodon layardii,1,13249,Unknown,DD,MARINE_MAMMALS,13249,iucn,TRUE
ITS-Mam-180508,Mesoplodon mirus,1,13250,Unknown,DD,MARINE_MAMMALS,13250,iucn,TRUE
ITS-Mam-552772,Mesoplodon peruvianus,null,13251,Unknown,DD,MARINE_MAMMALS,13251,iucn,TRUE
ITS-Mam-180514,Mesoplodon stejnegeri,null,13252,Unknown,DD,MARINE_MAMMALS,13252,iucn,TRUE
ITS-Mam-180672,Mirounga angustirostris,1,13581,Increasing,LC,MARINEFISH_Part1,13581,iucn,TRUE
ITS-Mam-180671,Mirounga leonina,1,13583,Unknown,LC,MARINE_MAMMALS,13583,iucn,TRUE
ITS-Mam-180659,Monachus monachus,1,13653,Decreasing,EN,MARINE_MAMMALS,13653,iucn,TRUE
ITS-Mam-180661,Monachus schauinslandi,1,13654,Decreasing,EN,MARINEFISH_Part1,13654,iucn,TRUE
ITS-Mam-180485,Monodon monoceros,1,13704,Unknown,NT,MARINE_MAMMALS,13704,iucn,TRUE
NA,Mycteroperca cidi,NA,14048,Unknown,DD,GROUPERS,14048,iucn,TRUE
Fis-24803,Mycteroperca jordani,null,14049,Decreasing,EN,GROUPERS,14049,iucn,TRUE
Fis-23649,Mycteroperca microlepis,null,14050,Decreasing,LC,GROUPERS,14050,iucn,TRUE
NA,Trisotropis microlepis,NA,14050,Decreasing,LC,GROUPERS,14050,iucn,TRUE
Fis-26901,Mycteroperca olfax,1,14051,Unknown,VU,GROUPERS,14051,iucn,TRUE
NA,Serranus olfax,NA,14051,Unknown,VU,GROUPERS,14051,iucn,TRUE
Fis-33369,Mycteroperca prionura,null,14052,Decreasing,NT,GROUPERS,14052,iucn,TRUE
Fis-27393,Mycteroperca rosacea,1,14053,Decreasing,VU,GROUPERS,14053,iucn,TRUE
NA,Epinephelus rosacea,NA,14053,Decreasing,VU,GROUPERS,14053,iucn,TRUE
Fis-23650,Mycteroperca rubra,null,14054,Unknown,LC,GROUPERS,14054,iucn,TRUE
NA,Epinephelus ruber,NA,14054,Unknown,LC,GROUPERS,14054,iucn,TRUE
Fis-24809,Myoxocephalus quadricornis,1,14214,Stable,LC,NA,NA,am,TRUE
Fis-26058,Myxus capensis,null,14264,Decreasing,LC,NA,NA,am,TRUE
ITS-Mam-180623,Neophoca cinerea,1,14549,Decreasing,EN,MARINE_MAMMALS,14549,iucn,TRUE
ITS-Mam-180639,Odobenus rosmarus,null,15106,Unknown,DD,MARINEFISH_Part1,15106,iucn,TRUE
Fis-59241,Oligolepis keiensis,null,15239,Unknown,LC,NA,NA,am,TRUE
ITS-Mam-180665,Ommatophoca rossii,1,15269,Unknown,LC,MARINE_MAMMALS,15269,iucn,TRUE
ITS-Mam-180471,Orcaella brevirostris,1,15419,Decreasing,VU,MARINE_MAMMALS,15419,iucn_parent,TRUE
ITS-Mam-180469,Orcinus orca,1,15421,Unknown,DD,NA,NA,am,TRUE
Fis-23707,Pagrus pagrus,1,15873,Unknown,LC,SEABREAMS_PORGIES,15873,iucn,TRUE
NA,Pagrus sedecim,NA,15873,Unknown,LC,SEABREAMS_PORGIES,15873,iucn,TRUE
NA,Pagrus vulgaris,NA,15873,Unknown,LC,SEABREAMS_PORGIES,15873,iucn,TRUE
NA,Sparus pagrus,NA,15873,Unknown,LC,SEABREAMS_PORGIES,15873,iucn,TRUE
Fis-31394,Pandaka pygmaea,null,15939,NA,CR,NA,NA,am,TRUE
Fis-50720,Favonigobius melanobranchus,null,16011,NA,NT,NA,NA,am,TRUE
Fis-17253,Favonigobius reichei,null,16012,NA,NT,NA,NA,am,TRUE
Fis-31036,Pegasus lancifer,null,16474,Unknown,DD,NA,NA,am,TRUE
Fis-31034,Pegasus laternarius,1,16475,Unknown,VU,NA,NA,am,TRUE
Fis-31035,Pegasus volitans,null,16476,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180459,Peponocephala electra,1,16564,Unknown,LC,MARINE_MAMMALS,16564,iucn,TRUE
NA,Lagenorhynchus electra,NA,16564,Unknown,LC,MARINE_MAMMALS,16564,iucn,TRUE
Fis-30477,Petromyzon marinus,1,16781,Stable,LC,NA,NA,am,TRUE
ITS-Mam-180649,Phoca vitulina,1,17013,Stable,LC,MARINEFISH_Part2,17013,iucn,TRUE
ITS-Mam-180617,Phocarctos hookeri,1,17026,Decreasing,EN,MARINE_MAMMALS,17026,iucn,TRUE
ITS-Mam-180473,Phocoena phocoena,1,17027,Unknown,LC,MARINEFISH_Part1,17027,iucn_parent,TRUE
ITS-Mam-180474,Phocoena sinus,1,17028,Decreasing,CR,MARINE_MAMMALS,17028,iucn,TRUE
ITS-Mam-180476,Phocoena spinipinnis,1,17029,Unknown,DD,MARINE_MAMMALS,17029,iucn,TRUE
ITS-Mam-180480,Phocoenoides dalli,1,17032,Unknown,LC,MARINE_MAMMALS,17032,iucn,TRUE
NA,Phocoenoides truei,NA,17032,Unknown,LC,MARINE_MAMMALS,17032,iucn,TRUE
Fis-48290,Phycodurus eques,null,17096,Unknown,NT,NA,NA,am,TRUE
Fis-29097,Phyllopteryx taeniolatus,null,17177,Unknown,NT,NA,NA,am,TRUE
ITS-Mam-180411,Pontoporia blainvillei,1,17978,Decreasing,VU,MARINE_MAMMALS,17978,iucn_parent,TRUE
Fis-47467,Pristis pectinata,1,18175,Decreasing,CR,NA,NA,am,TRUE
Fis-28309,Proterorhinus marmoratus,null,18376,Unknown,LC,NA,NA,am,TRUE
Fis-35299,Pseudochromis pesi,null,18510,NA,VU,NA,NA,am,TRUE
ITS-Mam-180463,Pseudorca crassidens,1,18596,Unknown,DD,MARINEFISH_Part1,18596,iucn,TRUE
Fis-24923,Pungitius pungitius,null,18878,Stable,LC,NA,NA,am,TRUE
Fis-28216,Redigobius bikolanus,null,19388,Stable,LC,NA,NA,am,TRUE
Fis-30583,Rhincodon typus,1,19488,Decreasing,VU,NA,NA,am,TRUE
Fis-29501,Salmo salar,1,19855,NA,LC,NA,NA,am,TRUE
Fis-34961,Sanopus splendidus,null,19899,NA,EN,NA,NA,am,TRUE
Fis-30607,Scarus guacamaia,null,19950,Decreasing,NT,WRASSE,19950,iucn,TRUE
