am_sid,sciname,iucn_id,sciname_worrms,status,sciname_accepted,am_name_ver
Fis-33019,Acanthopsetta nadeshnyi,NA,Acanthopsetta nadeshnyi,accepted,Acanthopsetta nadeshnyi,TRUE
Fis-57849,Acanthosphex leurynnis,NA,Acanthosphex leurynnis,accepted,Acanthosphex leurynnis,TRUE
Fis-53659,Acanthostracion guineensis,NA,Acanthostracion guineensis,accepted,Acanthostracion guineensis,TRUE
Fis-53665,Acanthostracion notacanthus,NA,Acanthostracion notacanthus,accepted,Acanthostracion notacanthus,TRUE
Fis-49970,Acanthostracion polygonius,NA,Acanthostracion polygonius,accepted,Acanthostracion polygonius,TRUE
Fis-22736,Acanthostracion quadricornis,NA,Acanthostracion quadricornis,accepted,Acanthostracion quadricornis,TRUE
Fis-30911,Acanthurus achilles,177960,Acanthurus achilles,accepted,Acanthurus achilles,TRUE
Fis-35635,Acanthurus albipectoralis,178007,Acanthurus albipectoralis,accepted,Acanthurus albipectoralis,TRUE
Fis-31085,Acanthurus auranticavus,177974,Acanthurus auranticavus,accepted,Acanthurus auranticavus,TRUE
Fis-29260,Acanthurus bahianus,177985,Acanthurus bahianus,accepted,Acanthurus bahianus,TRUE
Fis-31087,Acanthurus blochii,177971,Acanthurus blochii,accepted,Acanthurus blochii,TRUE
Fis-22976,Acanthurus chirurgus,177982,Acanthurus chirurgus,accepted,Acanthurus chirurgus,TRUE
Fis-29261,Acanthurus coeruleus,177953,Acanthurus coeruleus,accepted,Acanthurus coeruleus,TRUE
Fis-29579,Acanthurus dussumieri,177981,Acanthurus dussumieri,accepted,Acanthurus dussumieri,TRUE
Fis-31083,Acanthurus fowleri,177959,Acanthurus fowleri,accepted,Acanthurus fowleri,TRUE
Fis-51787,Acanthurus gahhm,154818,Acanthurus gahhm,accepted,Acanthurus gahhm,TRUE
Fis-31086,Acanthurus grammoptilus,178006,Acanthurus grammoptilus,accepted,Acanthurus grammoptilus,TRUE
Fis-31078,Acanthurus guttatus,177995,Acanthurus guttatus,accepted,Acanthurus guttatus,TRUE
Fis-53679,Acanthurus japonicus,177977,Acanthurus japonicus,accepted,Acanthurus japonicus,TRUE
Fis-25283,Acanthurus leucopareius,178011,Acanthurus leucopareius,accepted,Acanthurus leucopareius,TRUE
Fis-29580,Acanthurus leucosternon,178000,Acanthurus leucosternon,accepted,Acanthurus leucosternon,TRUE
Fis-23320,Acanthurus lineatus,177993,Acanthurus lineatus,accepted,Acanthurus lineatus,TRUE
Fis-25286,Acanthurus maculiceps,177957,Acanthurus maculiceps,accepted,Acanthurus maculiceps,TRUE
Fis-29578,Acanthurus mata,177967,Acanthurus mata,accepted,Acanthurus mata,TRUE
Fis-29581,Acanthurus monroviae,178023,Acanthurus monroviae,accepted,Acanthurus monroviae,TRUE
Fis-25952,Acanthurus nigricans,177969,Acanthurus nigricans,accepted,Acanthurus nigricans,TRUE
Fis-31084,Acanthurus nigricauda,178017,Acanthurus nigricauda,accepted,Acanthurus nigricauda,TRUE
Fis-25284,Acanthurus nigrofuscus,178019,Acanthurus nigrofuscus,accepted,Acanthurus nigrofuscus,TRUE
Fis-31079,Acanthurus nigroris,177999,Acanthurus nigroris,accepted,Acanthurus nigroris,TRUE
Fis-25281,Acanthurus nubilus,177961,Acanthurus nubilus,accepted,Acanthurus nubilus,TRUE
Fis-31082,Acanthurus olivaceus,177991,Acanthurus olivaceus,accepted,Acanthurus olivaceus,TRUE
Fis-31081,Acanthurus pyroferus,178022,Acanthurus pyroferus,accepted,Acanthurus pyroferus,TRUE
Fis-25285,Acanthurus sohal,177987,Acanthurus sohal,accepted,Acanthurus sohal,TRUE
Fis-4576,Acanthurus tennentii,177997,Acanthurus tennentii,accepted,Acanthurus tennentii,TRUE
Fis-25282,Acanthurus thompsoni,178008,Acanthurus thompsoni,accepted,Acanthurus thompsoni,TRUE
Fis-23321,Acanthurus triostegus,177965,Acanthurus triostegus,accepted,Acanthurus triostegus,TRUE
Fis-35352,Acanthurus tristis,177998,Acanthurus tristis,accepted,Acanthurus tristis,TRUE
Fis-29584,Acanthurus xanthopterus,177989,Acanthurus xanthopterus,accepted,Acanthurus xanthopterus,TRUE
Fis-50647,Acentrogobius audax,NA,Acentrogobius audax,accepted,Acentrogobius audax,TRUE
Fis-25367,Acentrogobius caninus,NA,Acentrogobius caninus,accepted,Acentrogobius caninus,TRUE
Fis-56954,Acentrogobius cyanomos,NA,Acentrogobius cyanomos,accepted,Acentrogobius cyanomos,TRUE
Fis-54058,Acentrogobius janthinopterus,NA,Acentrogobius janthinopterus,accepted,Acentrogobius janthinopterus,TRUE
Fis-54060,Acentrogobius moloanus,NA,Acentrogobius moloanus,unaccepted,Amoya moloanus,FALSE
Fis-136797,Acentrogobius nebulosus,NA,Acentrogobius nebulosus,accepted,Acentrogobius nebulosus,TRUE
Fis-54066,Acentrogobius suluensis,NA,Acentrogobius suluensis,accepted,Acentrogobius suluensis,TRUE
Fis-48018,Acentrogobius viridipunctatus,NA,Acentrogobius viridipunctatus,accepted,Acentrogobius viridipunctatus,TRUE
Fis-50333,Acentronura tentaculata,NA,Acentronura tentaculata,accepted,Acentronura tentaculata,TRUE
Fis-32200,Achiropsetta tricholepis,NA,Achiropsetta tricholepis,accepted,Achiropsetta tricholepis,TRUE
Fis-26599,Achirus achirus,NA,Achirus achirus,accepted,Achirus achirus,TRUE
Fis-128376,Achirus declivis,NA,Achirus declivis,accepted,Achirus declivis,TRUE
Fis-28883,Achirus klunzingeri,183389,Achirus klunzingeri,accepted,Achirus klunzingeri,TRUE
Fis-24400,Achirus lineatus,NA,Achirus lineatus,accepted,Achirus lineatus,TRUE
Fis-27804,Achirus mazatlanus,183932,Achirus mazatlanus,accepted,Achirus mazatlanus,TRUE
Fis-28885,Achirus scutum,183574,Achirus scutum,accepted,Achirus scutum,TRUE
Fis-29141,Achoerodus gouldii,187520,Achoerodus gouldii,accepted,Achoerodus gouldii,TRUE
Fis-29585,Acipenser brevirostrum,222,Acipenser brevirostrum,accepted,Acipenser brevirostrum,TRUE
Fis-29588,Acipenser medirostris,233,Acipenser medirostris,accepted,Acipenser medirostris,TRUE
Fis-58742,Acipenser oxyrinchus,245,Acipenser oxyrinchus,accepted,Acipenser oxyrinchus,TRUE
Fis-29593,Acipenser sturio,230,Acipenser sturio,accepted,Acipenser sturio,TRUE
Fis-29593,Acipenser sturio,230,NA,deleted,Acipenser sturio,TRUE
Fis-29594,Acipenser transmontanus,234,Acipenser transmontanus,accepted,Acipenser transmontanus,TRUE
Fis-26784,Acreichthys radiatus,NA,Acreichthys radiatus,accepted,Acreichthys radiatus,TRUE
Fis-26724,Acreichthys tomentosus,NA,Acreichthys tomentosus,accepted,Acreichthys tomentosus,TRUE
Fis-143375,Acromycter perturbator,155234,Acromycter perturbator,accepted,Acromycter perturbator,TRUE
Fis-33256,Acropoma hanedai,NA,Acropoma hanedai,accepted,Acropoma hanedai,TRUE
Fis-47983,Acropoma japonicum,NA,Acropoma japonicum,accepted,Acropoma japonicum,TRUE
Fis-29262,Aculeola nigra,44653,Aculeola nigra,accepted,Aculeola nigra,TRUE
Fis-24401,Acyrtops beryllinus,NA,Acyrtops beryllinus,accepted,Acyrtops beryllinus,TRUE
Fis-50003,Acyrtus rubiginosus,NA,Acyrtus rubiginosus,accepted,Acyrtus rubiginosus,TRUE
Fis-54506,Adelosebastes latens,NA,Adelosebastes latens,accepted,Adelosebastes latens,TRUE
Fis-62464,Adventor elongatus,NA,Adventor elongatus,accepted,Adventor elongatus,TRUE
Fis-32617,Aeoliscus punctulatus,NA,Aeoliscus punctulatus,accepted,Aeoliscus punctulatus,TRUE
Fis-26161,Aeoliscus strigatus,NA,Aeoliscus strigatus,accepted,Aeoliscus strigatus,TRUE
Fis-32561,Aesopia cornuta,NA,Aesopia cornuta,accepted,Aesopia cornuta,TRUE
Fis-28341,Aetapcus maculatus,NA,Aetapcus maculatus,accepted,Aetapcus maculatus,TRUE
Fis-145105,Aethotaxis mitopteryx mitopteryx,NA,Aethotaxis mitopteryx mitopteryx,accepted,Aethotaxis mitopteryx mitopteryx,TRUE
Fis-27240,Aetobatus flagellum,60119,Aetobatus flagellum,accepted,Aetobatus flagellum,TRUE
Fis-23322,Aetobatus narinari,39415,Aetobatus narinari,accepted,Aetobatus narinari,TRUE
Fis-28563,Aetobatus ocellatus,NA,Aetobatus ocellatus,accepted,Aetobatus ocellatus,TRUE
Fis-28560,Aetomylaeus maculatus,60120,Aetomylaeus maculatus,accepted,Aetomylaeus maculatus,TRUE
Fis-28561,Aetomylaeus milvus,NA,Aetomylaeus milvus,accepted,Aetomylaeus milvus,TRUE
Fis-27676,Aetomylaeus nichofii,41717,Aetomylaeus nichofii,accepted,Aetomylaeus nichofii,TRUE
Fis-28562,Aetomylaeus vespertilio,60121,Aetomylaeus vespertilio,accepted,Aetomylaeus vespertilio,TRUE
Fis-30759,Agonomalus mozinoi,NA,Agonomalus mozinoi,accepted,Agonomalus mozinoi,TRUE
Fis-28693,Agonopsis chiloensis,NA,Agonopsis chiloensis,accepted,Agonopsis chiloensis,TRUE
Fis-24403,Agonopsis sterletus,NA,Agonopsis sterletus,accepted,Agonopsis sterletus,TRUE
Fis-24404,Agonopsis vulsa,NA,Agonopsis vulsa,accepted,Agonopsis vulsa,TRUE
Fis-23323,Agonostomus monticola,192943,Agonostomus monticola,accepted,Agonostomus monticola,TRUE
Fis-22710,Agonus cataphractus,NA,Agonus cataphractus,accepted,Agonus cataphractus,TRUE
Fis-50293,Agrostichthys parkeri,NA,Agrostichthys parkeri,accepted,Agrostichthys parkeri,TRUE
Fis-23895,Ahlia egmontis,NA,Ahlia egmontis,accepted,Ahlia egmontis,TRUE
Fis-33219,Ahliesaurus berryi,NA,Ahliesaurus berryi,accepted,Ahliesaurus berryi,TRUE
Fis-59174,Aidablennius sphynx,NA,Aidablennius sphynx,accepted,Aidablennius sphynx,TRUE
Fis-149233,Aioliops tetrophthalmus,NA,Aioliops tetrophthalmus,accepted,Aioliops tetrophthalmus,TRUE
Fis-26397,Akarotaxis nudiceps,154740,Akarotaxis nudiceps,accepted,Akarotaxis nudiceps,TRUE
Fis-125488,Alabes dorsalis,NA,Alabes dorsalis,accepted,Alabes dorsalis,TRUE
Fis-125495,Alabes hoesei,NA,Alabes hoesei,accepted,Alabes hoesei,TRUE
Fis-156711,Alabes occidentalis,NA,Alabes occidentalis,accepted,Alabes occidentalis,TRUE
Fis-156684,Alabes parvula,NA,Alabes parvula,accepted,Alabes parvula,TRUE
Fis-27016,Albatrossia pectoralis,NA,Albatrossia pectoralis,accepted,Albatrossia pectoralis,TRUE
Fis-142645,Albula argentea,194298,Albula argentea,accepted,Albula argentea,TRUE
Fis-161121,Albula oligolepis,194301,Albula oligolepis,accepted,Albula oligolepis,TRUE
Fis-150540,Alcichthys elongatus,154619,Alcichthys elongatus,accepted,Alcichthys elongatus,TRUE
Fis-28698,Aldrichetta forsteri,NA,Aldrichetta forsteri,accepted,Aldrichetta forsteri,TRUE
Fis-26565,Aldrovandia affinis,NA,Aldrovandia affinis,accepted,Aldrovandia affinis,TRUE
Fis-33132,Aldrovandia gracilis,NA,Aldrovandia gracilis,accepted,Aldrovandia gracilis,TRUE
Fis-33133,Aldrovandia oleosa,NA,Aldrovandia oleosa,accepted,Aldrovandia oleosa,TRUE
Fis-27254,Aldrovandia phalacra,NA,Aldrovandia phalacra,accepted,Aldrovandia phalacra,TRUE
Fis-13508,Alectis alexandrina,NA,Alectis alexandrina,accepted,Alectis alexandrina,TRUE
Fis-22977,Alectis ciliaris,155014,Alectis ciliaris,accepted,Alectis ciliaris,TRUE
Fis-8344,Alectis indica,NA,Alectis indica,unaccepted,Alectis ciliaris,FALSE
Fis-8344,Alectis indica,NA,Alectis indica,accepted,Alectis indica,TRUE
Fis-24407,Alectrias alectrolophus,NA,Alectrias alectrolophus,accepted,Alectrias alectrolophus,TRUE
Fis-47256,Alepes apercna,NA,Alepes apercna,accepted,Alepes apercna,TRUE
Fis-23325,Alepes djedaba,NA,Alepes djedaba,accepted,Alepes djedaba,TRUE
Fis-142089,Alepes kleinii,NA,Alepes kleinii,accepted,Alepes kleinii,TRUE
Fis-29600,Alepes melanoptera,NA,Alepes melanoptera,accepted,Alepes melanoptera,TRUE
Fis-23326,Alepes vari,155134,Alepes vari,accepted,Alepes vari,TRUE
Fis-29601,Alepisaurus brevirostris,NA,Alepisaurus brevirostris,accepted,Alepisaurus brevirostris,TRUE
Fis-29263,Alepisaurus ferox,154820,Alepisaurus ferox,accepted,Alepisaurus ferox,TRUE
Fis-33231,Alepocephalus agassizii,NA,Alepocephalus agassizii,accepted,Alepocephalus agassizii,TRUE
Fis-33232,Alepocephalus australis,NA,Alepocephalus australis,accepted,Alepocephalus australis,TRUE
Fis-29264,Alepocephalus bairdii,NA,Alepocephalus bairdii,accepted,Alepocephalus bairdii,TRUE
Fis-32435,Alepocephalus bicolor,NA,Alepocephalus bicolor,accepted,Alepocephalus bicolor,TRUE
Fis-33746,Alepocephalus productus,NA,Alepocephalus productus,accepted,Alepocephalus productus,TRUE
Fis-31228,Alepocephalus rostratus,NA,Alepocephalus rostratus,accepted,Alepocephalus rostratus,TRUE
Fis-34713,Alepocephalus tenebrosus,NA,Alepocephalus tenebrosus,accepted,Alepocephalus tenebrosus,TRUE
Fis-114167,Alertichthys blacki,NA,Alertichthys blacki,accepted,Alertichthys blacki,TRUE
Fis-162802,Alionematichthys crassiceps,NA,Alionematichthys crassiceps,accepted,Alionematichthys crassiceps,TRUE
Fis-162810,Alionematichthys minyomma,NA,Alionematichthys minyomma,accepted,Alionematichthys minyomma,TRUE
Fis-162812,Alionematichthys piger,NA,Alionematichthys piger,accepted,Alionematichthys piger,TRUE
Fis-162804,Alionematichthys plicatosurculus,NA,Alionematichthys plicatosurculus,accepted,Alionematichthys plicatosurculus,TRUE
Fis-162811,Alionematichthys riukiuensis,NA,Alionematichthys riukiuensis,accepted,Alionematichthys riukiuensis,TRUE
Fis-162808,Alionematichthys winterbottomi,NA,Alionematichthys winterbottomi,accepted,Alionematichthys winterbottomi,TRUE
Fis-123779,Allenbatrachus grunniens,NA,Allenbatrachus grunniens,accepted,Allenbatrachus grunniens,TRUE
Fis-123785,Allenbatrachus reticulatus,NA,Allenbatrachus reticulatus,accepted,Allenbatrachus reticulatus,TRUE
Fis-50498,Alloblennius parvus,NA,Alloblennius parvus,accepted,Alloblennius parvus,TRUE
Fis-144041,Allocareproctus jordani,NA,Allocareproctus jordani,accepted,Allocareproctus jordani,TRUE
Fis-158070,Allocareproctus unangas,NA,Allocareproctus unangas,accepted,Allocareproctus unangas,TRUE
Fis-34768,Allocyttus folletti,NA,Allocyttus folletti,accepted,Allocyttus folletti,TRUE
Fis-33207,Allocyttus guineensis,NA,Allocyttus guineensis,accepted,Allocyttus guineensis,TRUE
Fis-35430,Allocyttus niger,NA,Allocyttus niger,accepted,Allocyttus niger,TRUE
Fis-27309,Allocyttus verrucosus,NA,Allocyttus verrucosus,accepted,Allocyttus verrucosus,TRUE
Fis-35884,Allomycterus pilatus,155007,Allomycterus pilatus,accepted,Allomycterus pilatus,TRUE
Fis-23897,Allosmerus elongatus,NA,Allosmerus elongatus,accepted,Allosmerus elongatus,TRUE
Fis-29265,Allothunnus fallai,170349,Allothunnus fallai,accepted,Allothunnus fallai,TRUE
Fis-31568,Alopias pelagicus,161597,Alopias pelagicus,accepted,Alopias pelagicus,TRUE
Fis-23898,Alopias superciliosus,161696,Alopias superciliosus,accepted,Alopias superciliosus,TRUE
Fis-23899,Alopias vulpinus,39339,Alopias vulpinus,accepted,Alopias vulpinus,TRUE
Fis-23327,Alosa aestivalis,201946,Alosa aestivalis,accepted,Alosa aestivalis,TRUE
Fis-25577,Alosa fallax,904,Alosa fallax,accepted,Alosa fallax,TRUE
Fis-23333,Alosa mediocris,201947,Alosa mediocris,accepted,Alosa mediocris,TRUE
Fis-23334,Alosa pseudoharengus,201948,Alosa pseudoharengus,accepted,Alosa pseudoharengus,TRUE
Fis-23335,Alosa sapidissima,191206,Alosa sapidissima,accepted,Alosa sapidissima,TRUE
Fis-27135,Alphestes afer,132764,Alphestes afer,accepted,Alphestes afer,TRUE
Fis-32974,Alphestes immaculatus,132754,Alphestes immaculatus,accepted,Alphestes immaculatus,TRUE
Fis-113010,Alticus kirkii,NA,Alticus kirkii,accepted,Alticus kirkii,TRUE
Fis-33723,Alticus monochrus,NA,Alticus monochrus,accepted,Alticus monochrus,TRUE
Fis-130767,Alticus saliens,NA,Alticus saliens,unaccepted,Alticus saliens,TRUE
Fis-130767,Alticus saliens,NA,Alticus saliens,accepted,Alticus saliens,TRUE
Fis-30760,Aluterus heudelotii,NA,Aluterus heudelotii,accepted,Aluterus heudelotii,TRUE
Fis-24409,Aluterus monoceros,NA,Aluterus monoceros,accepted,Aluterus monoceros,TRUE
Fis-24410,Aluterus scriptus,NA,Aluterus scriptus,accepted,Aluterus scriptus,TRUE
Fis-26252,Amanses scopas,NA,Amanses scopas,accepted,Amanses scopas,TRUE
Fis-30981,Amarsipus carlsbergi,NA,Amarsipus carlsbergi,accepted,Amarsipus carlsbergi,TRUE
Fis-151217,Ambassis ambassis,166881,Ambassis ambassis,accepted,Ambassis ambassis,TRUE
Fis-33712,Ambassis dussumieri,172415,Ambassis dussumieri,accepted,Ambassis dussumieri,TRUE
Fis-25324,Ambassis gymnocephalus,172321,Ambassis gymnocephalus,accepted,Ambassis gymnocephalus,TRUE
Fis-31253,Ambassis interrupta,172393,Ambassis interrupta,accepted,Ambassis interrupta,TRUE
Fis-35961,Ambassis jacksoniensis,NA,Ambassis jacksoniensis,accepted,Ambassis jacksoniensis,TRUE
Fis-6932,Ambassis kopsii,NA,Ambassis kopsii,accepted,Ambassis kopsii,TRUE
Fis-33258,Ambassis miops,180926,Ambassis miops,accepted,Ambassis miops,TRUE
Fis-29250,Ambassis nalua,172359,Ambassis nalua,accepted,Ambassis nalua,TRUE
Fis-32635,Ambassis natalensis,NA,Ambassis natalensis,accepted,Ambassis natalensis,TRUE
Fis-33259,Ambassis urotaenia,155201,Ambassis urotaenia,accepted,Ambassis urotaenia,TRUE
Fis-35964,Ambassis vachellii,166893,Ambassis vachellii,accepted,Ambassis vachellii,TRUE
Fis-126971,Ambiserrula jugosa,NA,Ambiserrula jugosa,accepted,Ambiserrula jugosa,TRUE
Fis-25841,Amblycirrhitus bimacula,NA,Amblycirrhitus bimacula,accepted,Amblycirrhitus bimacula,TRUE
Fis-24412,Amblycirrhitus pinos,NA,Amblycirrhitus pinos,accepted,Amblycirrhitus pinos,TRUE
Fis-53955,Amblycirrhitus unimacula,NA,Amblycirrhitus unimacula,accepted,Amblycirrhitus unimacula,TRUE
Fis-28588,Amblyeleotris aurora,NA,Amblyeleotris aurora,accepted,Amblyeleotris aurora,TRUE
Fis-21787,Amblyeleotris diagonalis,NA,Amblyeleotris diagonalis,accepted,Amblyeleotris diagonalis,TRUE
Fis-26445,Amblyeleotris fasciata,NA,Amblyeleotris fasciata,accepted,Amblyeleotris fasciata,TRUE
Fis-26446,Amblyeleotris fontanesii,NA,Amblyeleotris fontanesii,accepted,Amblyeleotris fontanesii,TRUE
Fis-28147,Amblyeleotris gymnocephala,NA,Amblyeleotris gymnocephala,accepted,Amblyeleotris gymnocephala,TRUE
Fis-114255,Amblyeleotris latifasciata,NA,Amblyeleotris latifasciata,accepted,Amblyeleotris latifasciata,TRUE
Fis-35318,Amblyeleotris ogasawarensis,NA,Amblyeleotris ogasawarensis,accepted,Amblyeleotris ogasawarensis,TRUE
Fis-57970,Amblyeleotris periophthalma,NA,Amblyeleotris periophthalma,accepted,Amblyeleotris periophthalma,TRUE
Fis-32251,Amblyeleotris randalli,NA,Amblyeleotris randalli,accepted,Amblyeleotris randalli,TRUE
Fis-149590,Amblyeleotris rubrimarginata,NA,Amblyeleotris rubrimarginata,accepted,Amblyeleotris rubrimarginata,TRUE
Fis-26420,Amblyeleotris steinitzi,NA,Amblyeleotris steinitzi,accepted,Amblyeleotris steinitzi,TRUE
Fis-26421,Amblyeleotris wheeleri,NA,Amblyeleotris wheeleri,accepted,Amblyeleotris wheeleri,TRUE
Fis-113272,Amblyeleotris yanoi,NA,Amblyeleotris yanoi,accepted,Amblyeleotris yanoi,TRUE
Fis-29610,Amblygaster clupeoides,NA,Amblygaster clupeoides,accepted,Amblygaster clupeoides,TRUE
Fis-23339,Amblygaster leiogaster,NA,Amblygaster leiogaster,accepted,Amblygaster leiogaster,TRUE
Fis-23340,Amblygaster sirm,NA,Amblygaster sirm,accepted,Amblygaster sirm,TRUE
Fis-25765,Amblyglyphidodon aureus,NA,Amblyglyphidodon aureus,accepted,Amblyglyphidodon aureus,TRUE
Fis-132098,Amblyglyphidodon batunai,NA,Amblyglyphidodon batunai,accepted,Amblyglyphidodon batunai,TRUE
Fis-25647,Amblyglyphidodon curacao,NA,Amblyglyphidodon curacao,accepted,Amblyglyphidodon curacao,TRUE
Fis-25766,Amblyglyphidodon leucogaster,NA,Amblyglyphidodon leucogaster,accepted,Amblyglyphidodon leucogaster,TRUE
Fis-25767,Amblyglyphidodon ternatensis,NA,Amblyglyphidodon ternatensis,accepted,Amblyglyphidodon ternatensis,TRUE
Fis-26255,Amblygobius albimaculatus,NA,Amblygobius albimaculatus,accepted,Amblygobius albimaculatus,TRUE
Fis-138801,Amblygobius buanensis,154967,Amblygobius buanensis,accepted,Amblygobius buanensis,TRUE
Fis-135734,Amblygobius bynoensis,NA,Amblygobius bynoensis,accepted,Amblygobius bynoensis,TRUE
Fis-26422,Amblygobius decussatus,NA,Amblygobius decussatus,accepted,Amblygobius decussatus,TRUE
