am_sid,lim,sciname,iucn_sid,reviewed,occurcells,quad
ITS-677530,w_lim,Enoplometopus holthuisi,185024,NA,8,q3
ITS-Mam-180679,w_lim,Dugong dugon,6909,1,245,q3
Rep-6239,w_lim,Hydrophis cyanocinctus,176726,NA,28,q3
Rep-6276,w_lim,Hydrophis spiralis,176717,NA,21,q3
Rep-6754,w_lim,Laticauda laticaudata,176771,NA,19,q3
SLB-117551,w_lim,Stylophora subseriata,133530,NA,22,q3
SLB-118879,w_lim,Conus monachus,192399,NA,7,q3
SLB-158633,w_lim,Acropora macrostoma,132950,NA,5,q3
SLB-158797,w_lim,Porites pukoensis,133574,NA,8,q4
SLB-169637,w_lim,Holothuria cinerascens,180504,NA,8,q3
SLB-184796,w_lim,Pentacheles gibbus,185018,NA,10,q3
SLB-184797,w_lim,Pentacheles obscurus,185091,NA,15,q4
SLB-184819,w_lim,Porites somaliensis,133645,NA,16,q4
SLB-184838,w_lim,Stereomastis surda,185023,NA,38,q4
SLB-184850,w_lim,Acantharctus ornatus,185031,NA,9,q3
SLB-184862,w_lim,Bathyarctus rubens,185035,NA,26,q3
SLB-184866,w_lim,Biarctus pumilus,185089,NA,5,q3
SLB-184897,w_lim,Crenarctus bicuspidatus,185093,NA,15,q3
SLB-184911,w_lim,Eduarctus reticulatus,185088,NA,3,q4
SLB-184916,w_lim,Galearctus timidus,185062,NA,28,q3
SLB-189679,w_lim,Holothuria coronopertusa,180218,NA,5,q4
SLB-65999,w_lim,Holothuria nobilis,180326,NA,51,q4
SLB-88333,w_lim,Actinopyga mauritiana,180337,NA,99,q3
SLB-88397,w_lim,Holothuria fuscopunctata,180414,NA,25,q3
SLB-93474,w_lim,Acropora retusa,133115,NA,28,q3
URM-Cn-6079,w_lim,Porites stephensoni,133329,NA,16,q3
W-Hol-210768,w_lim,Bohadschia argus,180541,NA,62,q3
W-Msc-215432,w_lim,Conus spectrum,192647,NA,40,q3
W-Msc-215457,w_lim,Conus marmoreus,192701,NA,181,q3
W-Msc-215532,w_lim,Conus milneedwardsi,192323,NA,5,q3
W-Msc-426373,w_lim,Conus teramachii,192681,NA,10,q3
W-Msc-426407,w_lim,Conus boholensis,192640,NA,6,q4
W-Msc-428185,w_lim,Conus lischkeanus,192269,NA,13,q4
W-Msc-428247,w_lim,Conus praecellens,192276,NA,29,q3
Fis-133251,e_lim,Scomber colias,170306,1,77,q4
Fis-145196,e_lim,Sparisoma amplum,190723,NA,9,q3
Fis-145200,e_lim,Sparisoma axillare,190751,NA,23,q3
Fis-149111,e_lim,Clepticus brasiliensis,187719,NA,16,q3
Fis-149813,e_lim,Sparisoma frondosum,190724,NA,31,q3
Fis-22818,e_lim,Sarda sarda,155096,NA,633,q3
Fis-24912,e_lim,Stegastes leucostictus,188569,NA,106,q3
Fis-24942,e_lim,Scartella cristata,198632,NA,158,q3
Fis-29814,e_lim,Chromis enchrysura,188315,NA,116,q3
Fis-49046,e_lim,Hypleurochilus bananensis,154753,NA,9,q4
Fis-52206,e_lim,Parablennius goreensis,185153,NA,5,q4
Fis-52255,e_lim,Entomacrodus textilis,48342414,NA,8,q4
Fis-53116,e_lim,Arothron inconditus,193786,NA,14,q3
SLB-184836,e_lim,Stereomastis suhmi,185036,NA,18,q4
URM-Cn-6073,e_lim,Porites porites,133395,NA,25,q3
