iucn_sid,habitat,shallow
132883,"This species occurs in tropical, shallow and deeper clear-water reef environments. This species is found on subtidal rock and rocky reefs, on the back and foreslopes, and in lagoons. It may be found in the outer reef channel. This species is found to 40 m. <br/><br/><em>Goniastrea</em> species are usually hardy corals often found on back reef areas. Many of the colonies are small or medium in size, but others grow to a meter or more in diameter (Wood 1983).",T
132884,This species is found in back reef and fore reef environments from 0.5-55 m depth (A. Bruckner pers. comm.). The form <em>C. amaranthus</em> occurs in intermediate to deep waters from 10-30 m.,T
132885,This species is found on the lower reef slopes and on vertical walls. The maximum size is 25 cm. This species is found from 15-30 m.,T
132886,"This species occurs in shallow, tropical reef environments. It is found in shallow lagoons and on foreshores exposed to wave action. This species is found from 3-12 m. <br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132892,"This species occurs in shallow, tropical reef environments on protected, upper reef slopes. This species is found to at least 20 m.",T
132894,"This species occurs in shallow, tropical reef environments on reef slopes. This species can be found on subtidal rock and rocky reefs, in the outer reef channel, and in lagoons. This species is found to 25 m.",T
132900,This species is found on all reef habitats. This species is found to 40 m.,T
132902,This species is found on reef slopes and lagoons.,
132903,It is found on lower reef slopes and vertical walls. The maximum size is 30 cm. This species is found from 10-30 m.,T
132906,"This species occurs in shallow, tropical reef environments exposed to strong wave action. This species is found from 1-15 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132908,"This species occurs in shallow reef environments. <br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132909,This species occurs in shallow reef environments. It is found in protected lagoons or sandy slopes (Wallace 1999). This species is found from 10-20 m.,T
132911,"This species occurs in shallow reef environments, especially those exposed to strong wave action. It is also found on vertical rock faces and in caverns. It is also found on deeper reef slopes and vertical walls. In the Eastern Tropical Pacific region it also occurs on coral communities and on rocky substrata, often on vertical surfaces or at the entrance of crevices (Chiriboga, GuzmÃ¡n, Hickman, and Edgar pers. comm.). The maximum size is approximately 50 cm. This species is found from 5-20 m.",T
132915,"This species is found in shallow reefs, lagoons and intertidal pools (Goreau and Wells 1967). It is not known to which depth this species occurs.",T
132916,It is found on reefs and rocky foreshores. It may form encrusting plates of over 1 m in diameter. This species is found from 5-20 m.,T
132917,"This species is found in shallow, tropical reef environments from 2-30 m. Colonies are massive to encrusting, sometimes with laminar margins. It usually occurs on walls or under overhangs in clear water  This species can be found in most reef habitats but is not a particularly common coral (Wood 1983). Sparse colonies of <em>G. planulata</em> are found from 9-15 m in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002).<br/><br/>In the Eastern Tropical Pacific region <em>G. planulata</em> usually occurs on coral reefs and coral communities on rocky substrata at depths of 3-30 m (GuzmÃ¡n, Chiriboga and Edgar pers. comm.); it also occurs on walls or under overhangs in clear water. <em>G. planulata</em> colonies are among the predominant framework builders in the Eastern Tropical Pacific region (Glynn 2000). <em>G. planulata</em> has reported average growth rates of 10.4 and 13.2 mm per year in Costa Rica and Panama, respectively (GuzmÃ¡n and CortÃ©s 1989, and Glynn 1985). Reproduction of <em>G. planulata</em> is mainly sexual (Glynn <em>et al</em>. 1996). <em>G. planulata</em> is a broadcast spawner (Glynn <em>et al</em>. 1996), with an alternating periodic sequential hermaphrodite mode of reproduction (spawning of first one sex then the other in given colony, in a lunar phase, and over the breeding season (Glynn <em>et al</em>. 1996, Glynn <em>et al</em>. 2000). However, <em>G. planulata</em> has a high proportion of mixed sexual patterns, with gonochoric colonies usually predominating over hermaphrodites (Glynn <em>et al</em>. 1996). This pattern of sexuality could promote outbreeding during periods of high population abundance, but still allow sexual reproduction by selfing at times of severe population decline (Glynn <em>et al</em>. 1996). According to Glynn <em>et al</em>. (1996), the earliest age of sexual reproduction for <em>G. planulata</em> is 20 years; which may retard the recovery of the population, especially in areas that have experienced catastrophic mortality. Gardinoseris planulata has revealed no sexual recruitment where seed populations are absent or rare (GalÃ¡pagos Islands), and only low recruitment (PanamÃ¡) in areas with colonies that survived the ENSO disturbance (Glynn 1996). At Uva Island, PanamÃ¡, corals that recruit are subject to significant mortality by <em>Acanthaster planci</em> predation (Glynn 1996). <em>G. planulata</em> colonies are preferred prey for <em>Acanthaster planci</em>; which may affect the population structure and distribution of <em>G. planulata</em> (Fong and Glynn 1998, Glynn 2001). According to Glynn <em>et al</em>. (1996), the slow rates of sexual recruitment of agariciid corals critically affect recovery of eastern Pacific coral communities that have experienced severe disturbances. However, according to GuzmÃ¡n (pers. comm.) recruits of <em>G. planulata</em> in the Gulfs of Chiriqui and Panama are common on rocky substrates.",T
132923,This species occurs on upper reef slopes exposed to strong wave action at depths of 2-26 m (Ketchum and Reyes-Bonilla 2001). The maximum size is 60 cm across.,T
132927,It is found on deep reef slopes and vertical walls. Maximum size is 20 cm. This species is found from 15-30 m.,T
132928,"It is found in most reef environments, especially lower reef slopes and turbid water habitats. <em>P. lactuca</em> is commonly found from 12-15 m, rarely from 9-11 m, in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). In the Philippines, this species has been seen at 5 m (Sheppard pers. comm.). <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. lactuca</em> colonies grow to around a metre. This species is found from 3-15 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. lactuca</em> is conspicuous.",T
132931,"This species occurs in shallow, tropical reef environments. It is found in a wide range of environments from lower reef slopes to lagoons. It occurs well below the low water mark (Wallace 1999) on submerged reef flats and slopes (Richards pers. comm.). This species is found from 10-20 m.<br/><br/>Recruits of this species may experience higher mortality in regions that experience deposition of sediments enriched with marine snow. Both sediment composition and short term deposition affect the survival of juveniles (Fabricius <em>et al</em>. 2003).",T
132933,"This species occurs in shallow, tropical reef environments. It is found in deep water or protected reef backs and lagoons. It is very common in sandy environments including subtidal protected sandy slopes and lagoon floors (Wallace 1999). This species is found from 3-50 m depth.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132935,"This species occurs in shallow, tropical reef environments. It is found on sheltered reef slopes, deep slopes and walls below 12 m (Wallace 1999). This species can be found from 10-30 m.",T
132940,"This species occurs on shallow reefs. It also is found in turbid or clear water on upper or lower reef slopes. It is found from 5-20 m depth (Lovell pers. comm.).<br/><br/><em>Acropora acuminata</em> likely spawns annually in September in French Polynesia (Carroll <em>et al</em>. 2006).<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132941,This species is found in deep reef slopes on sandy and coarse sand substrata. This is an attached free-living polyp. This species has been observed between 20-25 m.,T
132942,This species occurs in shallow reef flats and slopes. This species is found to at least 10 m.,T
132945,"This species occurs from 2-25 m in fore-reef and back-reef environments, channels, and lagoons. It favours cryptic environments, including crevices, under ledges, and shaded habitats.",T
132946,"This species occurs in shallow, tropical reef environments. It is found in shallow reef environments, especially on horizontal substrates. This species is found from 0.5-20 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132950,"This species occurs in shallow, tropical reef environments on upper reef slopes. This species is found from 0.5-12 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132957,"This species occurs in shallow reefs and rocky foreshores of subtropical locations. The maximum size is approximately 1 m. This species is found from 2-25 m. <br/><br/><em>Turbinaria</em> is the only reef-building (hermatypic) coral in the family Dendrophylliidae and sometimes contributes significantly toward coral cover. It is especially common on reef slopes, and colonies may be large and come in a variety of forms (Wood 1983).",T
132962,This species is found in most reef environments. This species is found to 45 m.,T
132963,"This species occurs in back reef or fore reef environments, but only in soft bottom habitats or cobble, rubble, mixed-sand communities; common in subtidal seagrass beds. Occurs from 1-65 m depth, and most abundant from 1-10 m. This species is tolerant of temperature and salinity changes, and is found in areas of high sedimentation. Commonly co-occurs with the free-living form of <em>Porites divaricata</em>, <em>Cladocora arbuscula</em>, and <em>Oculina</em> species.",T
132967,This species occurs in shallow reef environments and generally prefers lower reef slopes. This species may form large carpets. This species is found from 6-30 m. <br/><br/>All members of the genus <em>Euphyllia</em> have commensal shrimp species associated with them.,T
132968,"This species is found on reef slopes and lagoons as a free-living with multiple mouths. The depth range is from 5-25 m (Hoeksema 1990, Hoeksema 1993a). Maximum size is 1 m in diameter. It reproduce asexually by fragmentation.",T
132969,"This species occurs in shallow, tropical reef environments. It is found on upper reef slopes, especially those exposed to strong wave action, also just subtidal shallow reef edges (Wallace 1999). This species is found from 3-15 m.",T
132970,"This species is found in fore reef, slope, deep channels and deep lagoon environments. Recorded from 10-76 m (Reed 1985), but most common from 15-25 m (E. Weil and A. Bruckner pers. comm.), and especially at shallower depths (10-15m) in highly turbid waters. <br/><br/>This species forms large overlapping shingles.",T
132972,"This species occurs in shallow, tropical reef environments on upper reef slopes. It occurs just subtidally on reef edges and upper slopes as well as in sheltered lagoons (Wallace 1999). This species is found from 10-35 m.",T
132974,It is found on lower protected reef slopes. This species is found in very turbid water usually in single colonies not more than 50 cm diameter. This species is found from 8-15 m.,T
132977,This species occurs in wide range of reef environments from reef flats to mid reef slopes. This species is found to at least 25 m.,T
132980,"This species occurs in shallow, tropical reef environments. It occurs in most reef environments except where the water is turbid. It is commonly found from 3-15 m, rarely at 1-2 m, in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). This species is found on subtidal rock and rocky reefs, in the outer reef channel, on the back and foreslope, and in lagoons. It is possibly found on inter-reef soft and rubble substrate. This species is found to 30 m. <br/><br/>Leptoria species are usually found along the reef front an upper reef slope and may form colonies several meters in diameter (Wood 1983).",T
132983,"This species occurs in tropical, shallow reef environments. This species is found on the back and foreslope of the reef and in lagoons. This species is found to 20 m. <br/><br/>Species in this genus may be overlooked because of their low growth profile and the relatively small colony size (seldom exceeding 25 cm in diameter) (Wood 1983).",T
132984,"This species occurs in shallow, tropical reef environments protected from strong wave action. This species occurs subtidally on protected deep slopes (Wallace 1999). This species is found from 10-25 m.",T
132987,"This species occurs in shallow, tropical, protected reef environments, but also occurs in deeper waters. This species is found on subtidal rock and rocky reefs, in the outer reef channel, on the back and foreslopes, and in lagoons. This species is found to at least 40 m.",T
132988,"This species occurs in shallow, tropical reefs in a wide range of reef environments. It is found subtidally on protected slopes, sandy slopes, and lagoon floors (Wallace 1999). This species is found from 5-20 m.",T
132990,"This species occurs in shallow, tropical reef environments. It is found in wave washed lagoon margins, subtidally on submerged reef tops, ledges in walls, and rocky slopes; it is often found in indentations or crevices in the reef surface (Wallace 1999). This species is found from 3-15 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132991,This species occurs in shallow reef environments from 10 to 30 m depth.,T
132992,"This species occurs in shallow, tropical reef environments. It is found on exposed upper reef slopes and reefs flats, intertidally and subtidally on reef tops, upper reef slopes to 5 m, and submerged reefs (Wallace 1999). <br/><br/>This species is considered to be a main reef-framework builder and is found at 5-11 m on the north Great Barrier Reef (Sheppard 1982).",T
132996,This species is found on reef slopes as a free-living single polyp. The depth range is from 5-25 m (Hoeksema 1993 b). Maximum size is 15 cm in diameter.,T
133000,"This species occurs in shallow, tropical reef environments. It is found on outer reef slopes. This species is found from 2-12 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
133002,This species occurs in shallow reef environments. It may form fields of at least 50 cm in diameter. This species is found to 20 m.,T
133003,"This species occurs in shallow, tropical reef environments. It is found in sheltered reef environments. Sparse colonies of <em>L. bewickensis</em> are found from 12-15 m in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). It is found on subtidal rock and rocky reefs, on the back and foreslope of the reef, and in lagoons. This species is found to 20 m. <br/><br/>Species in this genus may be overlooked because of their low growth profile and the relatively small colony size (seldom exceeding 25 cm in diameter) (Wood 1983).",T
133004,This species is found in shallow reef environments.,T
133006,"This species is found in shallow tropical reef ecosystems, favouring outer reef slopes exposed to wave action. It has been recorded to depths of 22 m at Flower Garden Banks in the Gulf of Mexico (Zimmer <em>et al</em>. 2005), but this is a recent range extension potentially due to the results of climate change (Precht and Aronson 2004). The normal depth range is 0.5-5 m (Goreau and Wells 1967), but it can be found up to 40 m.<br/><br/>This species has limited sexual recruitment.",T
133007,"This species occurs in shallow, tropical reef environments on upper reef slopes. This species is found to at least 15 m.",T
133008,This species is found on lower reef slopes and reef bases as a free-living single polyp. It is only found on sand. The depth range is from 18-40 m (Hoeksema 1990). Maximum size is 15 cm in diameter.,T
133011,This species occurs in shallow reef environments. Colonies are small.,T
133013,"This species occurs in shallow, tropical reef environments. It is found in a wide variety of environments, especially upper reef slopes and lagoons. This species occurs only subtidally, usually in protected waters and is most commonly encountered in enclosed lagoons or sheltered slopes with sandy substrata (Wallace 1999). This species is found from 5-25 m.",T
133018,"This species occurs in shallow, tropical reef environments on reef flats exposed to strong wave action or currents. This species is found from 1-8 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
133020,"This species occurs in shallow, tropical reef environments. It is found on upper reef slopes and in shallow subtidal habitats including outer reef flats (Wallace 1999). This species is found from 8-20 m.",T
133023,"This species is frequently a dominant species of lagoons and reef slopes, generally to depths of 30 m. On the outer reef flat of central Vietnam's reefs, <em>P. lichen</em> is one of two species that dominate in both degree of substrate coverage and size of many circled colonies reaching 3 m across (Latypov 2001).",T
133024,This species is found in a wide variety of reef environments. This species is found to 40 m.,T
133025,"This species occurs in shallow, tropical reef environments. It is found in turbid water around fringing reefs. It only occurs in protected subtidal habitats such as contained lagoons and sandy slopes (Wallace 1999). This species is found from 3-20 m.",T
133026,"It is found in shallow reef environments, protected from strong wave action.<br/><br/>This genus is typically conspicuous (Veron 1995), but <em>M. mancaoi</em> is not a particularly conspicuous species.",T
133029,"This species occurs in shallow, tropical reef environments. It is found on upper to mid reef slopes. It is found on subtidal rock and rocky reefs, in the outer reef channel, and in lagoons. This species is found to 30 m.",T
133031,"This species occurs in most shallow, tropical reef environments. This species is found to at least 20 m.",T
133032,"This species is found in most shallow reef environments, especially clear waters. This species is found to 30 m.",T
133033,"This species occurs in shallow, tropical reef environments. It is usually restricted to shallow back-reef margins. It occurs in reef flat and shallow habitats or interefal lagoons (Wallace 1999). <em>Acropora pulchra</em> likely spawns annually in September in French Polynesia (Carroll <em>et al</em>. 2006). This species is found from 1-20 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth  (Wood 1983).",T
133034,"This species is found on soft substrata on lower reef slopes and reef bases. The depth range is from 1 m (Fenner pers. comm.)  to 40 m (Hoeksema 1990) The maximum size is 15 cm in diameter. It may reproduce asexually by fragmentation. This species is usually found living in the deeper reef zones, but has also been seen in shallow seagrass beds.",T
133034,"This species is found on soft substrata on lower reef slopes and reef bases. The depth range is from 1 m (Fenner pers. comm.)  to 40 m (Hoeksema 1990) The maximum size is 15 cm in diameter. It may reproduce asexually by fragmentation. This species is usually found living in the deeper reef zones, but has also been seen in shallow seagrass beds.",T
133037,"This species is found in deep-water fore reefs, walls and overhangs. It occurs from 20-76 m (Reed 1985).",T
133038,"This species is common on lower reef slopes and lagoons protected from wave action, generally to depths of 20 m.",T
133043,"This species occurs in most reef environments, generally to depths of 20 m.",T
133045,This species is found in shallow water exposed to strong wave action. The maximum size is 50 cm across.,T
133046,"This species occurs in shallow reef environments. This species is found from 5-15 m. <br/><br/>There are few records for this coral, and it is difficult to give detailed information on its distribution. It is generally found on soft substrates of lower reef slopes in clear or slightly turbid water. In certain areas it may occur in extensive tracts (Wood 1983).",T
133053,"This species occurs at intermediate, deep fore reef and lagoon environments especially towards the base of the reef and adjacent soft substrate communities. Occurs from 10-92 m (Reed 1985), but most common from 15-25 m. This species tends to be resilient to waters with high sedimentation.",T
133055,"This species occurs in shallow reef environments. This species is found on subtidal rock and rocky reefs, in the outer reef channel, on the back and foreslope, and in lagoons. This species is found to 20 m.",T
133057,This species occurs in mid-slope reef environments protected from wave action. This species is found from 5-20 m. <br/><br/>All members of the genus <em>Euphyllia</em> have commensal shrimp species associated with them.,T
133058,"This species occurs in shallow, tropical reef environments. It is found in protected reef environments, especially vertical faces and lower reef slopes. This species is found from 5-40 m. <br/><br/>Echinophyllia is found in most fore reef areas, but has a preference for slightly shaded spots on the reef slopes (Wood 1983). Colonies of <em>E. echinata</em> grow to 20 cm or less (Fenner pers. comm.).",T
133059,"This species occurs in shallow, tropical reef environments. It is found on reef flats and upper slopes. This species is found on subtidal rock and rocky reefs and in lagoons. This species is found to 20 m. <br/><br/><em>Platygyra</em> species occupy a variety of reef habitats. They may form colonies a meter or more in diameter (Wood 1983).",T
133064,"This species occurs in shallow, tropical reef environments in turbid environments, especially lagoons. This species is found to at least 20 m.",T
133066,"This species occurs in shallow, tropical reef environments on upper reef slopes. This species is found to at least 20 m.",T
133070,"This species is found in most tropical reef environments. It forms sub-massive to massive colonies. This species is found on subtidal rock and rocky reefs, on the back and foreslope, and in lagoons. It may be found in the outer reef channel. This species is found to 20 m. <br/><br/>Species in this genus are usually most abundant at mid-depth. This genus is a common and extremely important reef-building coral in the western Atlantic (Wood 1983). It forms massive colonies that are usually rounded or lobed in shallow water and flattened or plate-like on deep reefs (Wood 1983).",T
133071,"This species occurs in shallow, tropical reef environments. It is mostly found on protected upper reef slopes. This species is found to at least 20 m.",T
133076,This species can be found in most reef environments. This species is found to 40 m.,T
133081,"This species occurs in shallow, tropical reef environments. It is found in shallow water protected from wave action, only in protected, subtidal lagoons (Wallace 1999), and protected reef slopes (Richards pers. comm.). This species is found from 10-25 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
133082,"This species occurs with <em>P. lobata</em> and <em>P. australiensis</em> on back reef margins, lagoons and fringing reefs, generally to depths of 30 m. <em>P. lutea</em> is commonly found from 1-15 m, with massive colonies at 3-5 m, in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). In American Samoa, one colony is known to be 6.5 m tall and 41 m circumference (D. Fenner pers. comm.).",T
133084,"This species occurs in shallow reef environments, especially reef backs and sedimented lagoons protected from strong wave action. It prefers tropical reef environments. This species is typically found on back slopes, in lagoons, and inter-reef soft substrate and can be found on subtidal rock and rocky reefs and foreslopes. This species is found to at least 20 m.",T
133087,"This species occurs in shallow, tropical reef environments. It is usually restricted to protected back reefs with clear water and soft substrates. This species is found from 5-25 m.",T
133088,"This species occurs in shallow, tropical reef environments. It may be a dominant species in shallow water habitats with flat substrates. This species is found in the outer reef channel, on the back and foreslopes, in lagoons, and inter-reef soft substrate. This species is found to at least 40 m.",T
133089,"This species occurs in shallow, tropical reef environments. It is found on vertical substrates with clear water at 10-40 m depth. Colonies are typically 50 cm or less (Fenner pers. comm.).",T
133090,"This species occurs in a wide range of reef environments. It prefers tropical habitats. It is commonly found from 9-20 m, rarely from 1-5 m, in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). This species is found on subtidal rock and rocky reefs, in the outer reef channel, on the back and foreslope, in lagoons, and on inter-tidal rubble substrate. This species is found to 30 m. <br/><br/>Species in this genus may be overlooked because of their low growth profile and the relatively small colony size (seldom exceeding 25 cm in diameter) (Wood 1983).",T
133092,This species is found in shallow tropical reef environments and rocky foreshores. This species is found from 1-10 m.,T
133094,"This species is often found in reef habitats exposed to strong wave action, generally to depths of 30 m.",T
133096,"This species is found in shallow reef environments, generally to depths of 15 m.",T
133097,"This species occurs in shallow, tropical reef environments on partly protected reef slopes. The maximum size is over 1 m across. This species is found to 15 m. <br/><br/>Pocilloporid corals, presumably including <em>P. danae</em>, are generally amongst the strongest coral competitors with relatively high rates of calcification (Glynn 2001). However, coral species exhibiting high rates of calcification usually have relatively high mortality rates (Glynn 2000). Pocilloporid corals also usually predominate at shallow depths (1-15 m). Amongst the reef building corals in the Eastern Tropical Pacific region, pocilloporid species have the highest growth rates (GuzmÃ¡n and Cortes 1993). They are the principal framework builders on Panamanian reefs (Glynn 2002).<br/><br/><em>Pocillopora</em> species are preyed on by at least nine groups of consumers. These vary in their consumption patterns, but include:<br/><br/>a) Species that bite off colony branch-tips: pufferfishes (<em>Arothron</em>), parrotfishes (<em>Scaridae</em>), filefishes (Monacanthidae) (Glynn 2002).<br/><br/>b) Species that scrape skeletal surface: hermit crabs (<em>Trizopagurus</em>, <em>Aniculus</em>, and <em>Calcinus</em>) (Glynn 2002).<br/><br/>c) Species that remove tissues but leave the skeleton intact: gastropods (<em>Jenneria pustulata</em> and <em>Quoyula</em> sp. (Glynn 2002)), buterflyfishes, angelfishes, damselfish (<em>Stegastes acapulcoensis</em>), and <em>Acanthaster planci</em> (Glynn 2002).<br/><br/>d) Species that abrade tissues and skeleton: <em>Eucidaris galapagensis</em> (Glynn 2001).<br/><br/><em>Jenneria</em> and <em>Acanthaster can kill whole, relatively large (approx. 30 cm in diameter) colonies of <em>Pocillopora</em> (Glynn 2002). Pocilloporid species can have crab (<em>Trapezia</em> sp.) and alpheid shrimp as mutualistic symbionts that protect the coral from the attack of the crown-of-thorns sea star <em>A. planci</em> (Glynn 2001).",T
